objective,similarity,correlation
77354,25.9289,-0.853706
78269,24.7888,-0.853706
82193,21.3804,-0.853706
81688,21.5686,-0.853706
82157,20.5626,-0.853706
82786,21.2332,-0.853706
80147,24.8088,-0.853706
78453,25.8759,-0.853706
84474,20.011,-0.853706
82552,22.5265,-0.853706
82822,21.0911,-0.853706
82012,22.2172,-0.853706
79592,23.7948,-0.853706
81982,22.049,-0.853706
83283,22.0681,-0.853706
78396,26.012,-0.853706
78006,24.7097,-0.853706
80449,22.6677,-0.853706
80999,22.8428,-0.853706
81509,22.0841,-0.853706
82184,22.5866,-0.853706
78498,24.1171,-0.853706
80006,23.7317,-0.853706
80753,23.2472,-0.853706
79070,23.3343,-0.853706
79024,23.7337,-0.853706
80618,24.2092,-0.853706
80582,23.031,-0.853706
81468,23.4334,-0.853706
80117,23.6827,-0.853706
84496,19.2673,-0.853706
79410,23.0561,-0.853706
85071,20.5195,-0.853706
81196,22.0691,-0.853706
81771,21.3403,-0.853706
80497,21.2573,-0.853706
83679,21.5906,-0.853706
80343,21.4925,-0.853706
81148,22.4775,-0.853706
80176,22.7988,-0.853706
81392,22.6657,-0.853706
81418,22.3574,-0.853706
81810,21.9299,-0.853706
80018,24.6737,-0.853706
79607,25.2462,-0.853706
80454,21.012,-0.853706
79966,24.3453,-0.853706
80965,23.7998,-0.853706
83293,20.9459,-0.853706
78330,24.5946,-0.853706
81492,23.7467,-0.853706
80375,23.4294,-0.853706
79938,23.2452,-0.853706
80169,22.6857,-0.853706
80029,24.1451,-0.853706
81332,22.2102,-0.853706
80143,24.1181,-0.853706
83511,21.8498,-0.853706
77337,26.8358,-0.853706
79951,22.4675,-0.853706
83769,20.8939,-0.853706
83426,22.026,-0.853706
78011,24.8388,-0.853706
78376,24.5556,-0.853706
79174,24.3143,-0.853706
84118,21.6476,-0.853706
84113,20.5786,-0.853706
81102,22.2162,-0.853706
82270,21.4745,-0.853706
83442,19.4174,-0.853706
77551,26.1722,-0.853706
79401,21.971,-0.853706
81658,22.8629,-0.853706
82168,21.6176,-0.853706
81065,22.9429,-0.853706
81892,22.6036,-0.853706
79157,23.1502,-0.853706
81022,24.4925,-0.853706
81629,23.9139,-0.853706
82688,20.7818,-0.853706
80116,23.7367,-0.853706
78906,24.1451,-0.853706
80313,20.4154,-0.853706
83415,21.1021,-0.853706
84640,18.9069,-0.853706
83342,21.5335,-0.853706
82959,22.02,-0.853706
82071,21.046,-0.853706
80064,24.8779,-0.853706
79323,23.7968,-0.853706
83173,21.4344,-0.853706
78469,24.9279,-0.853706
83344,21.4605,-0.853706
84214,19.1572,-0.853706
81443,22.4685,-0.853706
78971,24.8128,-0.853706
80360,23.2392,-0.853706
81935,22.2342,-0.853706
81407,23.5245,-0.853706
80548,22.4595,-0.853706
79494,23.3994,-0.853706
75541,26.1562,-0.853706
81016,23.8659,-0.853706
79455,23.7568,-0.853706
82608,19.1201,-0.853706
80846,21.8549,-0.853706
77917,25.2312,-0.853706
79775,22.2853,-0.853706
82529,22.9059,-0.853706
82041,22.6627,-0.853706
82350,21.047,-0.853706
81309,22.6486,-0.853706
83519,18.8488,-0.853706
80591,22.1742,-0.853706
81329,21.984,-0.853706
81349,23.0931,-0.853706
79835,22.1311,-0.853706
81640,21.9119,-0.853706
78832,22.7978,-0.853706
81242,24.2412,-0.853706
82115,22.1802,-0.853706
78768,23.6957,-0.853706
80404,22.0551,-0.853706
81362,22.6026,-0.853706
80547,22.5335,-0.853706
84242,20.7197,-0.853706
78752,24.1211,-0.853706
81444,22.3423,-0.853706
