objective,similarity,correlation
78817,40,-0.512211
85083,28,-0.512211
79489,30,-0.512211
80830,29,-0.512211
79847,30,-0.512211
82666,32,-0.512211
86662,20,-0.512211
78262,44,-0.512211
80607,28,-0.512211
81227,31,-0.512211
82318,30,-0.512211
83329,31,-0.512211
81429,29,-0.512211
78624,27,-0.512211
82533,26,-0.512211
80405,19,-0.512211
79960,29,-0.512211
78808,31,-0.512211
80200,21,-0.512211
81907,31,-0.512211
80252,24,-0.512211
85804,27,-0.512211
81282,32,-0.512211
79451,26,-0.512211
81191,30,-0.512211
83863,21,-0.512211
83123,18,-0.512211
79618,28,-0.512211
81840,37,-0.512211
81071,27,-0.512211
82960,22,-0.512211
82028,21,-0.512211
84809,26,-0.512211
78057,33,-0.512211
82266,25,-0.512211
81591,33,-0.512211
81420,31,-0.512211
79383,34,-0.512211
81782,29,-0.512211
81757,31,-0.512211
79135,25,-0.512211
81134,35,-0.512211
79920,36,-0.512211
81743,27,-0.512211
80821,27,-0.512211
82725,23,-0.512211
81711,20,-0.512211
82285,30,-0.512211
79456,36,-0.512211
80297,31,-0.512211
78896,38,-0.512211
80352,32,-0.512211
80007,31,-0.512211
79982,27,-0.512211
79007,36,-0.512211
82988,19,-0.512211
76648,36,-0.512211
84590,30,-0.512211
80618,31,-0.512211
80173,26,-0.512211
80628,31,-0.512211
80810,26,-0.512211
78020,34,-0.512211
80078,30,-0.512211
79608,23,-0.512211
81156,27,-0.512211
82827,28,-0.512211
80132,27,-0.512211
83839,26,-0.512211
80756,27,-0.512211
85626,29,-0.512211
79445,34,-0.512211
81278,32,-0.512211
81409,31,-0.512211
81915,27,-0.512211
81055,33,-0.512211
77970,35,-0.512211
80737,29,-0.512211
77771,31,-0.512211
81693,33,-0.512211
82012,28,-0.512211
80095,34,-0.512211
84175,27,-0.512211
81933,22,-0.512211
82048,27,-0.512211
80461,30,-0.512211
82119,30,-0.512211
84212,30,-0.512211
80597,28,-0.512211
79066,33,-0.512211
82047,21,-0.512211
80385,35,-0.512211
80939,30,-0.512211
80419,25,-0.512211
85535,22,-0.512211
78784,39,-0.512211
80595,28,-0.512211
78620,32,-0.512211
78483,34,-0.512211
78287,33,-0.512211
82221,28,-0.512211
84058,22,-0.512211
79178,22,-0.512211
83540,29,-0.512211
80708,27,-0.512211
79140,32,-0.512211
83983,24,-0.512211
83651,22,-0.512211
80887,32,-0.512211
80743,31,-0.512211
79863,30,-0.512211
81165,38,-0.512211
79923,28,-0.512211
76909,32,-0.512211
80447,27,-0.512211
80930,29,-0.512211
79105,28,-0.512211
82907,28,-0.512211
77830,39,-0.512211
83703,25,-0.512211
79243,27,-0.512211
79255,31,-0.512211
81214,27,-0.512211
82675,23,-0.512211
81483,22,-0.512211
82817,24,-0.512211
81059,22,-0.512211
81377,32,-0.512211
80523,34,-0.512211
81446,28,-0.512211
81903,26,-0.512211
78563,27,-0.512211
87308,21,-0.512211
79707,28,-0.512211
79816,24,-0.512211
81007,31,-0.512211
80274,30,-0.512211
81152,30,-0.512211
82391,31,-0.512211
77922,38,-0.512211
80803,31,-0.512211
79844,24,-0.512211
81354,33,-0.512211
84210,25,-0.512211
82193,27,-0.512211
78318,33,-0.512211
79322,28,-0.512211
79945,33,-0.512211
79588,34,-0.512211
80097,34,-0.512211
79757,27,-0.512211
80212,27,-0.512211
81839,31,-0.512211
77928,33,-0.512211
78457,35,-0.512211
79999,25,-0.512211
85005,28,-0.512211
83152,25,-0.512211
81050,29,-0.512211
77403,37,-0.512211
81211,29,-0.512211
79751,25,-0.512211
84105,22,-0.512211
82031,35,-0.512211
80757,34,-0.512211
79349,37,-0.512211
82145,36,-0.512211
77230,40,-0.512211
79840,29,-0.512211
79398,35,-0.512211
81607,36,-0.512211
81307,28,-0.512211
81815,31,-0.512211
85182,19,-0.512211
78180,36,-0.512211
81744,32,-0.512211
78931,34,-0.512211
84142,33,-0.512211
82105,25,-0.512211
83523,26,-0.512211
80350,28,-0.512211
80229,27,-0.512211
80996,28,-0.512211
81855,29,-0.512211
82276,28,-0.512211
80787,30,-0.512211
80423,28,-0.512211
79654,24,-0.512211
81630,32,-0.512211
81320,31,-0.512211
84799,27,-0.512211
82005,31,-0.512211
82789,26,-0.512211
84310,21,-0.512211
80107,26,-0.512211
82679,18,-0.512211
81332,23,-0.512211
80920,28,-0.512211
77183,38,-0.512211
83259,20,-0.512211
81340,28,-0.512211
80847,29,-0.512211
79882,27,-0.512211
82088,27,-0.512211
81470,34,-0.512211
82108,17,-0.512211
81753,23,-0.512211
83105,24,-0.512211
80062,34,-0.512211
82985,23,-0.512211
84047,31,-0.512211
81746,24,-0.512211
80299,29,-0.512211
81452,23,-0.512211
81430,27,-0.512211
85061,23,-0.512211
78970,35,-0.512211
82043,24,-0.512211
78570,31,-0.512211
82303,25,-0.512211
79474,26,-0.512211
78923,31,-0.512211
82178,32,-0.512211
83191,25,-0.512211
82426,29,-0.512211
81356,32,-0.512211
80455,27,-0.512211
83288,32,-0.512211
83763,29,-0.512211
81919,22,-0.512211
81973,20,-0.512211
82825,26,-0.512211
80231,30,-0.512211
79629,31,-0.512211
83212,28,-0.512211
81042,35,-0.512211
78939,38,-0.512211
80555,31,-0.512211
80069,29,-0.512211
79289,31,-0.512211
77734,33,-0.512211
83416,27,-0.512211
78234,34,-0.512211
78211,27,-0.512211
77759,31,-0.512211
79896,30,-0.512211
77738,38,-0.512211
81558,27,-0.512211
81763,25,-0.512211
84872,26,-0.512211
83031,22,-0.512211
82039,27,-0.512211
79300,29,-0.512211
79332,31,-0.512211
79742,31,-0.512211
83311,31,-0.512211
78655,38,-0.512211
79792,33,-0.512211
87359,19,-0.512211
83749,28,-0.512211
77737,34,-0.512211
84535,23,-0.512211
79311,25,-0.512211
82688,26,-0.512211
81200,32,-0.512211
84560,26,-0.512211
84184,25,-0.512211
79703,29,-0.512211
82195,32,-0.512211
84638,26,-0.512211
81357,22,-0.512211
81472,28,-0.512211
81399,30,-0.512211
78766,31,-0.512211
78615,31,-0.512211
80571,22,-0.512211
78855,37,-0.512211
82619,29,-0.512211
77719,34,-0.512211
81179,21,-0.512211
81729,27,-0.512211
81460,28,-0.512211
81598,33,-0.512211
80036,32,-0.512211
81510,28,-0.512211
81521,34,-0.512211
82036,30,-0.512211
78783,27,-0.512211
81567,25,-0.512211
79958,25,-0.512211
79690,24,-0.512211
80583,20,-0.512211
78921,33,-0.512211
80384,34,-0.512211
86490,22,-0.512211
80433,29,-0.512211
82322,23,-0.512211
80794,31,-0.512211
80674,27,-0.512211
80570,32,-0.512211
80787,31,-0.512211
79582,27,-0.512211
81848,25,-0.512211
82332,33,-0.512211
78276,31,-0.512211
78974,30,-0.512211
80566,28,-0.512211
81753,21,-0.512211
80871,27,-0.512211
84480,22,-0.512211
81512,30,-0.512211
80069,31,-0.512211
82906,32,-0.512211
81154,34,-0.512211
76910,37,-0.512211
79981,35,-0.512211
79571,31,-0.512211
80695,35,-0.512211
81176,27,-0.512211
83465,28,-0.512211
82713,30,-0.512211
79985,37,-0.512211
76718,33,-0.512211
82371,29,-0.512211
78460,35,-0.512211
85259,23,-0.512211
81235,33,-0.512211
78957,29,-0.512211
84410,26,-0.512211
80857,33,-0.512211
83044,32,-0.512211
79259,27,-0.512211
79268,29,-0.512211
82058,30,-0.512211
85880,23,-0.512211
81961,29,-0.512211
78596,32,-0.512211
83419,23,-0.512211
82424,35,-0.512211
79227,35,-0.512211
85968,27,-0.512211
81520,24,-0.512211
80998,33,-0.512211
81669,36,-0.512211
81642,28,-0.512211
80841,28,-0.512211
82377,32,-0.512211
82038,29,-0.512211
78649,30,-0.512211
83209,24,-0.512211
79663,27,-0.512211
82858,22,-0.512211
80727,30,-0.512211
80043,25,-0.512211
81097,24,-0.512211
80650,26,-0.512211
79189,28,-0.512211
82645,31,-0.512211
79279,28,-0.512211
78156,31,-0.512211
81137,26,-0.512211
81233,34,-0.512211
79187,28,-0.512211
81573,22,-0.512211
79814,27,-0.512211
80346,29,-0.512211
80163,30,-0.512211
79775,30,-0.512211
82414,29,-0.512211
82862,25,-0.512211
79267,35,-0.512211
78868,41,-0.512211
81507,33,-0.512211
77719,38,-0.512211
80223,39,-0.512211
81579,31,-0.512211
80269,25,-0.512211
81111,27,-0.512211
80072,24,-0.512211
81627,21,-0.512211
82770,31,-0.512211
79552,31,-0.512211
82018,33,-0.512211
78757,31,-0.512211
81679,25,-0.512211
83358,25,-0.512211
79359,31,-0.512211
81330,31,-0.512211
79703,33,-0.512211
80812,32,-0.512211
81400,27,-0.512211
79547,29,-0.512211
84844,26,-0.512211
81916,25,-0.512211
81112,25,-0.512211
81004,31,-0.512211
78281,30,-0.512211
84785,33,-0.512211
82633,25,-0.512211
79663,26,-0.512211
84079,20,-0.512211
78722,31,-0.512211
80016,35,-0.512211
80792,37,-0.512211
80366,23,-0.512211
78981,30,-0.512211
80059,27,-0.512211
81462,33,-0.512211
80628,25,-0.512211
78962,32,-0.512211
79696,27,-0.512211
84326,29,-0.512211
78186,31,-0.512211
81111,31,-0.512211
80139,27,-0.512211
81598,25,-0.512211
82828,25,-0.512211
83476,33,-0.512211
79330,27,-0.512211
81144,27,-0.512211
83202,22,-0.512211
82200,26,-0.512211
84344,27,-0.512211
83835,34,-0.512211
81646,27,-0.512211
82062,28,-0.512211
78744,30,-0.512211
81514,25,-0.512211
83673,29,-0.512211
81409,23,-0.512211
83445,23,-0.512211
80000,35,-0.512211
80068,31,-0.512211
80392,27,-0.512211
83293,27,-0.512211
81318,28,-0.512211
80996,29,-0.512211
83800,24,-0.512211
78691,33,-0.512211
78518,36,-0.512211
80346,32,-0.512211
81181,30,-0.512211
82991,30,-0.512211
81879,29,-0.512211
78342,36,-0.512211
78947,28,-0.512211
81015,30,-0.512211
80153,27,-0.512211
79928,40,-0.512211
82789,28,-0.512211
80482,30,-0.512211
80366,34,-0.512211
79019,36,-0.512211
82904,31,-0.512211
80803,23,-0.512211
81743,36,-0.512211
80334,31,-0.512211
79435,40,-0.512211
80547,32,-0.512211
80308,24,-0.512211
78109,35,-0.512211
78106,30,-0.512211
81611,34,-0.512211
76860,40,-0.512211
82357,40,-0.512211
82630,21,-0.512211
79923,31,-0.512211
83396,25,-0.512211
80570,32,-0.512211
79247,26,-0.512211
79513,33,-0.512211
82272,29,-0.512211
84033,29,-0.512211
80304,22,-0.512211
81024,29,-0.512211
79232,36,-0.512211
80811,25,-0.512211
80120,26,-0.512211
80565,30,-0.512211
80491,32,-0.512211
83685,34,-0.512211
85822,24,-0.512211
82016,31,-0.512211
79086,30,-0.512211
83562,26,-0.512211
80390,34,-0.512211
82703,30,-0.512211
78230,43,-0.512211
78833,28,-0.512211
76800,35,-0.512211
81591,26,-0.512211
84557,17,-0.512211
78948,30,-0.512211
79684,26,-0.512211
82970,31,-0.512211
79678,33,-0.512211
83489,19,-0.512211
82655,24,-0.512211
81259,34,-0.512211
83950,24,-0.512211
81908,28,-0.512211
83953,22,-0.512211
88526,18,-0.512211
78881,31,-0.512211
81508,27,-0.512211
81641,32,-0.512211
84684,21,-0.512211
81641,25,-0.512211
81818,27,-0.512211
82230,26,-0.512211
83696,28,-0.512211
80510,30,-0.512211
83210,25,-0.512211
80286,31,-0.512211
82719,25,-0.512211
83880,23,-0.512211
