objective,similarity,correlation
77354,38,-0.645234
78269,46,-0.645234
82193,33,-0.645234
81688,33,-0.645234
82157,32,-0.645234
82786,31,-0.645234
80147,42,-0.645234
78453,47,-0.645234
84474,27,-0.645234
82552,36,-0.645234
82822,34,-0.645234
82012,34,-0.645234
79592,40,-0.645234
81982,31,-0.645234
83283,29,-0.645234
78396,43,-0.645234
78006,33,-0.645234
80449,33,-0.645234
80999,34,-0.645234
81509,34,-0.645234
82184,35,-0.645234
78498,44,-0.645234
80006,35,-0.645234
80753,30,-0.645234
79070,36,-0.645234
79024,31,-0.645234
80618,42,-0.645234
80582,42,-0.645234
81468,35,-0.645234
80117,37,-0.645234
84496,28,-0.645234
79410,35,-0.645234
85071,32,-0.645234
81196,36,-0.645234
81771,28,-0.645234
80497,31,-0.645234
83679,28,-0.645234
80343,31,-0.645234
81148,35,-0.645234
80176,38,-0.645234
81392,38,-0.645234
81418,35,-0.645234
81810,40,-0.645234
80018,39,-0.645234
79607,48,-0.645234
80454,32,-0.645234
79966,32,-0.645234
80965,42,-0.645234
83293,33,-0.645234
78330,36,-0.645234
81492,34,-0.645234
80375,36,-0.645234
79938,37,-0.645234
80169,34,-0.645234
80029,44,-0.645234
81332,37,-0.645234
80143,45,-0.645234
83511,32,-0.645234
77337,42,-0.645234
79951,34,-0.645234
83769,26,-0.645234
83426,33,-0.645234
78011,43,-0.645234
78376,41,-0.645234
79174,39,-0.645234
84118,33,-0.645234
84113,33,-0.645234
81102,33,-0.645234
82270,29,-0.645234
83442,22,-0.645234
77551,46,-0.645234
79401,36,-0.645234
81658,31,-0.645234
82168,31,-0.645234
81065,39,-0.645234
81892,33,-0.645234
79157,34,-0.645234
81022,41,-0.645234
81629,33,-0.645234
82688,30,-0.645234
80116,35,-0.645234
78906,38,-0.645234
80313,30,-0.645234
83415,30,-0.645234
84640,30,-0.645234
83342,30,-0.645234
82959,31,-0.645234
82071,30,-0.645234
80064,44,-0.645234
79323,37,-0.645234
83173,34,-0.645234
78469,36,-0.645234
83344,33,-0.645234
84214,30,-0.645234
81443,30,-0.645234
78971,32,-0.645234
80360,38,-0.645234
81935,34,-0.645234
81407,38,-0.645234
80548,32,-0.645234
79494,41,-0.645234
75541,48,-0.645234
81016,35,-0.645234
79455,44,-0.645234
82608,29,-0.645234
80846,34,-0.645234
77917,44,-0.645234
79775,32,-0.645234
82529,35,-0.645234
82041,33,-0.645234
82350,32,-0.645234
81309,37,-0.645234
83519,29,-0.645234
80591,37,-0.645234
81329,33,-0.645234
81349,34,-0.645234
79835,31,-0.645234
81640,33,-0.645234
78832,40,-0.645234
81242,43,-0.645234
82115,35,-0.645234
78768,42,-0.645234
80404,35,-0.645234
81362,31,-0.645234
80547,28,-0.645234
84242,29,-0.645234
78752,41,-0.645234
81444,33,-0.645234
80673,36,-0.645234
82070,31,-0.645234
81645,32,-0.645234
79795,31,-0.645234
78928,38,-0.645234
79700,37,-0.645234
84007,31,-0.645234
80522,42,-0.645234
85141,26,-0.645234
80721,36,-0.645234
81108,31,-0.645234
81356,34,-0.645234
83232,27,-0.645234
79972,36,-0.645234
82001,38,-0.645234
84034,37,-0.645234
80372,45,-0.645234
82751,31,-0.645234
82415,30,-0.645234
82672,33,-0.645234
81264,35,-0.645234
83299,34,-0.645234
83975,25,-0.645234
83664,30,-0.645234
79971,38,-0.645234
78568,39,-0.645234
77693,41,-0.645234
82453,33,-0.645234
83144,28,-0.645234
84034,31,-0.645234
80002,35,-0.645234
79318,43,-0.645234
81852,41,-0.645234
79652,40,-0.645234
79806,38,-0.645234
79194,40,-0.645234
80273,36,-0.645234
77952,39,-0.645234
84333,26,-0.645234
77407,35,-0.645234
79819,37,-0.645234
81175,34,-0.645234
84129,24,-0.645234
85378,23,-0.645234
79156,37,-0.645234
81191,34,-0.645234
77844,39,-0.645234
78483,44,-0.645234
84206,29,-0.645234
82116,40,-0.645234
79805,37,-0.645234
80394,39,-0.645234
78553,42,-0.645234
78128,45,-0.645234
83104,32,-0.645234
82857,34,-0.645234
78110,42,-0.645234
81401,30,-0.645234
80479,38,-0.645234
82108,32,-0.645234
82975,32,-0.645234
83835,34,-0.645234
85583,20,-0.645234
84428,29,-0.645234
81204,32,-0.645234
83740,32,-0.645234
83145,30,-0.645234
82128,24,-0.645234
80177,37,-0.645234
81116,40,-0.645234
80258,36,-0.645234
77698,35,-0.645234
81296,32,-0.645234
83179,35,-0.645234
82300,34,-0.645234
80358,38,-0.645234
80145,38,-0.645234
80965,36,-0.645234
81398,37,-0.645234
81116,32,-0.645234
79893,37,-0.645234
79377,38,-0.645234
82676,30,-0.645234
83235,30,-0.645234
79576,40,-0.645234
85053,27,-0.645234
81607,33,-0.645234
83591,28,-0.645234
81922,25,-0.645234
85219,28,-0.645234
79462,39,-0.645234
80689,37,-0.645234
84803,31,-0.645234
84455,28,-0.645234
80303,31,-0.645234
85402,27,-0.645234
83036,31,-0.645234
78045,36,-0.645234
83144,31,-0.645234
80541,42,-0.645234
78283,39,-0.645234
81386,33,-0.645234
86556,25,-0.645234
81208,32,-0.645234
82812,28,-0.645234
81073,34,-0.645234
