objective,similarity,correlation
77354,89.0911,-0.261265
78269,88.3113,-0.261265
82193,88.2813,-0.261265
81688,88.3443,-0.261265
82157,87.1211,-0.261265
82786,86.2943,-0.261265
80147,87.1321,-0.261265
78453,89.3373,-0.261265
84474,88.1161,-0.261265
82552,89.3253,-0.261265
82822,88.2793,-0.261265
82012,89.6476,-0.261265
79592,88.2753,-0.261265
81982,88.3824,-0.261265
83283,88.4384,-0.261265
78396,88.7107,-0.261265
78006,89.1672,-0.261265
80449,85.2973,-0.261265
80999,88.4024,-0.261265
81509,86.6627,-0.261265
82184,87.7828,-0.261265
78498,89.1882,-0.261265
80006,89.025,-0.261265
80753,86.957,-0.261265
79070,89.045,-0.261265
79024,88.7397,-0.261265
80618,87.2513,-0.261265
80582,86.5566,-0.261265
81468,86.8729,-0.261265
80117,87.3814,-0.261265
84496,85.1742,-0.261265
79410,88.5746,-0.261265
85071,86.6206,-0.261265
81196,88.3654,-0.261265
81771,86.99,-0.261265
80497,87.2753,-0.261265
83679,88.7768,-0.261265
80343,86.8478,-0.261265
81148,87.5435,-0.261265
80176,86.952,-0.261265
81392,88.6406,-0.261265
81418,87.022,-0.261265
81810,88.1502,-0.261265
80018,88.8869,-0.261265
79607,88.4154,-0.261265
80454,86.6066,-0.261265
79966,88.6977,-0.261265
80965,89.043,-0.261265
83293,87.6446,-0.261265
78330,87.3874,-0.261265
81492,89.1712,-0.261265
80375,87.0671,-0.261265
79938,87.7467,-0.261265
80169,87.4354,-0.261265
80029,87.3624,-0.261265
81332,87.971,-0.261265
80143,87.957,-0.261265
83511,89.2302,-0.261265
77337,89.1461,-0.261265
79951,86.6767,-0.261265
83769,86.5756,-0.261265
83426,86.2002,-0.261265
78011,88.6607,-0.261265
78376,85.6567,-0.261265
79174,89.3313,-0.261265
84118,88.5996,-0.261265
84113,86.984,-0.261265
81102,87.0851,-0.261265
82270,86.2002,-0.261265
83442,87.9499,-0.261265
77551,90.2673,-0.261265
79401,89.6226,-0.261265
81658,86.5886,-0.261265
82168,87.9339,-0.261265
81065,88.1532,-0.261265
81892,89.2142,-0.261265
79157,88.0791,-0.261265
81022,89.2152,-0.261265
81629,88.2282,-0.261265
82688,87.6757,-0.261265
80116,88.0781,-0.261265
78906,88.7968,-0.261265
80313,86.8899,-0.261265
83415,84.8969,-0.261265
84640,88.3103,-0.261265
83342,87.1071,-0.261265
82959,88.1892,-0.261265
82071,88.3894,-0.261265
80064,89.0941,-0.261265
