objective,similarity,correlation
77354,92,-0.19881
78269,88,-0.19881
82193,91,-0.19881
81688,88,-0.19881
82157,89,-0.19881
82786,85,-0.19881
80147,88,-0.19881
78453,89,-0.19881
84474,88,-0.19881
82552,93,-0.19881
82822,89,-0.19881
82012,90,-0.19881
79592,93,-0.19881
81982,92,-0.19881
83283,90,-0.19881
78396,90,-0.19881
78006,92,-0.19881
80449,87,-0.19881
80999,89,-0.19881
81509,88,-0.19881
82184,89,-0.19881
78498,91,-0.19881
80006,89,-0.19881
80753,88,-0.19881
79070,89,-0.19881
79024,91,-0.19881
80618,89,-0.19881
80582,85,-0.19881
81468,87,-0.19881
80117,89,-0.19881
84496,86,-0.19881
79410,91,-0.19881
85071,86,-0.19881
81196,90,-0.19881
81771,89,-0.19881
80497,90,-0.19881
83679,89,-0.19881
80343,87,-0.19881
81148,91,-0.19881
80176,90,-0.19881
81392,90,-0.19881
81418,88,-0.19881
81810,89,-0.19881
80018,90,-0.19881
79607,91,-0.19881
80454,86,-0.19881
79966,91,-0.19881
80965,89,-0.19881
83293,89,-0.19881
78330,90,-0.19881
81492,90,-0.19881
80375,87,-0.19881
79938,90,-0.19881
80169,91,-0.19881
80029,88,-0.19881
81332,90,-0.19881
80143,89,-0.19881
83511,91,-0.19881
77337,90,-0.19881
79951,87,-0.19881
83769,89,-0.19881
83426,86,-0.19881
78011,92,-0.19881
78376,85,-0.19881
79174,92,-0.19881
84118,88,-0.19881
84113,89,-0.19881
81102,89,-0.19881
82270,89,-0.19881
83442,88,-0.19881
77551,90,-0.19881
79401,93,-0.19881
81658,87,-0.19881
82168,86,-0.19881
81065,90,-0.19881
81892,91,-0.19881
79157,89,-0.19881
81022,91,-0.19881
81629,89,-0.19881
82688,88,-0.19881
80116,90,-0.19881
78906,90,-0.19881
80313,86,-0.19881
83415,84,-0.19881
84640,88,-0.19881
83342,86,-0.19881
82959,89,-0.19881
82071,91,-0.19881
80064,90,-0.19881
79323,88,-0.19881
83173,88,-0.19881
78469,91,-0.19881
83344,86,-0.19881
84214,89,-0.19881
81443,89,-0.19881
78971,89,-0.19881
80360,89,-0.19881
81935,89,-0.19881
81407,89,-0.19881
80548,90,-0.19881
79494,89,-0.19881
75541,90,-0.19881
81016,92,-0.19881
79455,88,-0.19881
82608,88,-0.19881
80846,90,-0.19881
77917,89,-0.19881
79775,92,-0.19881
82529,87,-0.19881
82041,89,-0.19881
82350,89,-0.19881
81309,86,-0.19881
83519,91,-0.19881
80591,91,-0.19881
81329,90,-0.19881
81349,90,-0.19881
79835,91,-0.19881
81640,87,-0.19881
78832,88,-0.19881
81242,90,-0.19881
82115,88,-0.19881
78768,90,-0.19881
80404,87,-0.19881
81362,90,-0.19881
80547,89,-0.19881
84242,90,-0.19881
78752,88,-0.19881
81444,91,-0.19881
80673,87,-0.19881
82070,92,-0.19881
81645,90,-0.19881
79795,93,-0.19881
78928,91,-0.19881
79700,91,-0.19881
84007,88,-0.19881
80522,88,-0.19881
85141,86,-0.19881
80721,87,-0.19881
81108,88,-0.19881
81356,90,-0.19881
83232,91,-0.19881
79972,88,-0.19881
82001,91,-0.19881
84034,91,-0.19881
80372,91,-0.19881
82751,90,-0.19881
82415,89,-0.19881
82672,91,-0.19881
81264,88,-0.19881
83299,86,-0.19881
83975,89,-0.19881
83664,89,-0.19881
79971,89,-0.19881
78568,88,-0.19881
77693,88,-0.19881
82453,89,-0.19881
83144,91,-0.19881
84034,88,-0.19881
80002,89,-0.19881
79318,88,-0.19881
81852,89,-0.19881
79652,91,-0.19881
79806,89,-0.19881
79194,89,-0.19881
80273,91,-0.19881
77952,90,-0.19881
84333,88,-0.19881
77407,92,-0.19881
79819,90,-0.19881
81175,90,-0.19881
84129,89,-0.19881
85378,88,-0.19881
79156,89,-0.19881
81191,88,-0.19881
77844,89,-0.19881
78483,89,-0.19881
84206,88,-0.19881
82116,89,-0.19881
79805,85,-0.19881
80394,89,-0.19881
78553,90,-0.19881
78128,90,-0.19881
83104,90,-0.19881
82857,87,-0.19881
78110,88,-0.19881
81401,87,-0.19881
80479,89,-0.19881
82108,90,-0.19881
82975,88,-0.19881
83835,89,-0.19881
85583,91,-0.19881
84428,91,-0.19881
81204,87,-0.19881
83740,89,-0.19881
83145,90,-0.19881
82128,88,-0.19881
80177,89,-0.19881
81116,89,-0.19881
80258,92,-0.19881
77698,90,-0.19881
81296,92,-0.19881
83179,90,-0.19881
82300,88,-0.19881
80358,88,-0.19881
80145,89,-0.19881
80965,87,-0.19881
81398,89,-0.19881
81116,90,-0.19881
79893,88,-0.19881
79377,88,-0.19881
82676,92,-0.19881
83235,89,-0.19881
79576,89,-0.19881
85053,86,-0.19881
81607,86,-0.19881
83591,88,-0.19881
81922,92,-0.19881
85219,90,-0.19881
79462,88,-0.19881
80689,89,-0.19881
84803,88,-0.19881
84455,89,-0.19881
80303,90,-0.19881
85402,87,-0.19881
83036,88,-0.19881
78045,93,-0.19881
83144,87,-0.19881
80541,87,-0.19881
78283,88,-0.19881
81386,91,-0.19881
86556,86,-0.19881
81208,88,-0.19881
82812,91,-0.19881
81073,86,-0.19881
82308,89,-0.19881
81170,89,-0.19881
80432,91,-0.19881
82086,92,-0.19881
80997,89,-0.19881
80141,90,-0.19881
80500,90,-0.19881
76066,86,-0.19881
82615,90,-0.19881
80115,93,-0.19881
82733,88,-0.19881
80068,87,-0.19881
77530,89,-0.19881
81804,89,-0.19881
79183,90,-0.19881
81187,85,-0.19881
82750,90,-0.19881
83453,87,-0.19881
81266,91,-0.19881
83906,90,-0.19881
81972,91,-0.19881
82972,89,-0.19881
78059,89,-0.19881
83029,89,-0.19881
79128,91,-0.19881
80199,91,-0.19881
79513,88,-0.19881
80399,91,-0.19881
80184,92,-0.19881
82592,87,-0.19881
82605,90,-0.19881
81948,91,-0.19881
78203,91,-0.19881
83071,89,-0.19881
82311,89,-0.19881
83608,89,-0.19881
79999,89,-0.19881
80921,87,-0.19881
81567,86,-0.19881
80926,88,-0.19881
82253,90,-0.19881
82998,90,-0.19881
83632,89,-0.19881
81657,92,-0.19881
83568,87,-0.19881
79161,92,-0.19881
82808,90,-0.19881
82354,90,-0.19881
79264,89,-0.19881
82868,91,-0.19881
85310,86,-0.19881
79663,88,-0.19881
81820,91,-0.19881
81279,91,-0.19881
81425,90,-0.19881
81286,87,-0.19881
81770,91,-0.19881
80563,88,-0.19881
77370,88,-0.19881
78110,88,-0.19881
80695,88,-0.19881
81926,88,-0.19881
78778,92,-0.19881
84119,88,-0.19881
82667,92,-0.19881
81291,90,-0.19881
80141,90,-0.19881
77283,90,-0.19881
81530,88,-0.19881
78897,87,-0.19881
81984,90,-0.19881
82346,90,-0.19881
80952,90,-0.19881
79708,91,-0.19881
83785,90,-0.19881
81000,88,-0.19881
79676,91,-0.19881
83700,89,-0.19881
78547,92,-0.19881
82437,88,-0.19881
80396,89,-0.19881
85256,88,-0.19881
81573,90,-0.19881
83334,90,-0.19881
78265,92,-0.19881
81099,90,-0.19881
81314,86,-0.19881
81124,87,-0.19881
78277,89,-0.19881
83295,90,-0.19881
78342,91,-0.19881
80604,88,-0.19881
76993,92,-0.19881
80185,89,-0.19881
77545,89,-0.19881
80685,91,-0.19881
79857,90,-0.19881
84960,90,-0.19881
81778,91,-0.19881
81368,91,-0.19881
83236,89,-0.19881
81638,89,-0.19881
81626,89,-0.19881
82018,88,-0.19881
82403,90,-0.19881
83743,83,-0.19881
77540,90,-0.19881
78552,91,-0.19881
80530,88,-0.19881
80964,88,-0.19881
81292,85,-0.19881
80477,90,-0.19881
82750,89,-0.19881
79257,91,-0.19881
80574,89,-0.19881
82106,91,-0.19881
80374,89,-0.19881
81461,87,-0.19881
81010,88,-0.19881
82103,89,-0.19881
81491,87,-0.19881
82970,88,-0.19881
80341,90,-0.19881
83052,85,-0.19881
78953,91,-0.19881
79209,89,-0.19881
81237,87,-0.19881
81505,92,-0.19881
83677,86,-0.19881
82454,86,-0.19881
83357,90,-0.19881
82902,88,-0.19881
81501,89,-0.19881
80210,88,-0.19881
82421,90,-0.19881
80869,89,-0.19881
81999,92,-0.19881
82436,90,-0.19881
82669,88,-0.19881
80128,90,-0.19881
81040,90,-0.19881
75657,93,-0.19881
80497,88,-0.19881
79581,89,-0.19881
82020,88,-0.19881
80043,90,-0.19881
84809,87,-0.19881
83566,89,-0.19881
82155,88,-0.19881
79988,88,-0.19881
78354,87,-0.19881
83161,89,-0.19881
84360,89,-0.19881
81388,90,-0.19881
81553,88,-0.19881
84195,89,-0.19881
79242,88,-0.19881
81485,87,-0.19881
82425,89,-0.19881
79625,89,-0.19881
80192,85,-0.19881
79422,89,-0.19881
82766,88,-0.19881
80673,91,-0.19881
84797,89,-0.19881
80448,89,-0.19881
80502,88,-0.19881
81706,87,-0.19881
81165,90,-0.19881
82181,89,-0.19881
79422,89,-0.19881
83635,88,-0.19881
79247,91,-0.19881
77168,90,-0.19881
81721,90,-0.19881
80140,93,-0.19881
85313,90,-0.19881
81360,91,-0.19881
82989,89,-0.19881
78504,90,-0.19881
80101,89,-0.19881
82664,90,-0.19881
80354,89,-0.19881
79949,90,-0.19881
79863,92,-0.19881
77872,91,-0.19881
82594,88,-0.19881
78876,91,-0.19881
79401,90,-0.19881
79195,90,-0.19881
79110,90,-0.19881
76226,89,-0.19881
81696,89,-0.19881
78904,90,-0.19881
81372,88,-0.19881
79741,88,-0.19881
84731,89,-0.19881
85221,90,-0.19881
77627,88,-0.19881
79819,92,-0.19881
83697,91,-0.19881
81997,89,-0.19881
81221,89,-0.19881
80301,88,-0.19881
78649,87,-0.19881
79982,88,-0.19881
83776,88,-0.19881
77827,89,-0.19881
78758,88,-0.19881
85602,84,-0.19881
79394,90,-0.19881
80942,91,-0.19881
82527,87,-0.19881
80856,88,-0.19881
81628,91,-0.19881
81510,87,-0.19881
81824,89,-0.19881
84592,88,-0.19881
81990,90,-0.19881
84977,88,-0.19881
84584,90,-0.19881
79658,87,-0.19881
79234,89,-0.19881
81222,90,-0.19881
79930,90,-0.19881
84834,89,-0.19881
86110,89,-0.19881
81772,90,-0.19881
80031,89,-0.19881
83340,88,-0.19881
83812,87,-0.19881
81280,89,-0.19881
78512,90,-0.19881
82581,88,-0.19881
79371,88,-0.19881
84594,89,-0.19881
81566,90,-0.19881
79764,89,-0.19881
79309,91,-0.19881
84201,85,-0.19881
83093,86,-0.19881
80273,87,-0.19881
79672,89,-0.19881
79479,86,-0.19881
79212,91,-0.19881
81800,90,-0.19881
79317,90,-0.19881
80151,88,-0.19881
78702,93,-0.19881
79066,86,-0.19881
