objective,similarity,correlation
77354,91,-0.329008
78269,92,-0.329008
82193,90,-0.329008
81688,88,-0.329008
82157,89,-0.329008
82786,85,-0.329008
80147,85,-0.329008
78453,95,-0.329008
84474,90,-0.329008
82552,90,-0.329008
82822,91,-0.329008
82012,93,-0.329008
79592,89,-0.329008
81982,89,-0.329008
83283,87,-0.329008
78396,91,-0.329008
78006,90,-0.329008
80449,86,-0.329008
80999,91,-0.329008
81509,88,-0.329008
82184,90,-0.329008
78498,93,-0.329008
80006,92,-0.329008
80753,88,-0.329008
79070,91,-0.329008
79024,91,-0.329008
80618,86,-0.329008
80582,89,-0.329008
81468,89,-0.329008
80117,89,-0.329008
84496,84,-0.329008
79410,89,-0.329008
85071,85,-0.329008
81196,93,-0.329008
81771,89,-0.329008
80497,91,-0.329008
83679,89,-0.329008
80343,87,-0.329008
81148,92,-0.329008
80176,90,-0.329008
81392,91,-0.329008
81418,85,-0.329008
81810,90,-0.329008
80018,92,-0.329008
79607,92,-0.329008
80454,86,-0.329008
79966,88,-0.329008
80965,92,-0.329008
83293,88,-0.329008
78330,87,-0.329008
81492,89,-0.329008
80375,88,-0.329008
79938,93,-0.329008
80169,87,-0.329008
80029,91,-0.329008
81332,92,-0.329008
80143,89,-0.329008
83511,93,-0.329008
77337,91,-0.329008
79951,86,-0.329008
83769,84,-0.329008
83426,85,-0.329008
78011,93,-0.329008
78376,90,-0.329008
79174,91,-0.329008
84118,89,-0.329008
84113,88,-0.329008
81102,88,-0.329008
82270,89,-0.329008
83442,90,-0.329008
77551,96,-0.329008
79401,93,-0.329008
81658,89,-0.329008
82168,91,-0.329008
81065,89,-0.329008
81892,90,-0.329008
79157,90,-0.329008
81022,91,-0.329008
81629,93,-0.329008
82688,91,-0.329008
80116,91,-0.329008
78906,91,-0.329008
80313,91,-0.329008
83415,83,-0.329008
84640,93,-0.329008
83342,87,-0.329008
82959,87,-0.329008
82071,89,-0.329008
80064,93,-0.329008
79323,91,-0.329008
83173,91,-0.329008
78469,87,-0.329008
83344,85,-0.329008
84214,90,-0.329008
81443,90,-0.329008
78971,90,-0.329008
80360,85,-0.329008
81935,85,-0.329008
81407,87,-0.329008
80548,91,-0.329008
79494,91,-0.329008
75541,93,-0.329008
81016,93,-0.329008
79455,92,-0.329008
82608,88,-0.329008
80846,89,-0.329008
77917,91,-0.329008
79775,92,-0.329008
82529,88,-0.329008
82041,88,-0.329008
82350,90,-0.329008
81309,87,-0.329008
83519,91,-0.329008
80591,91,-0.329008
81329,87,-0.329008
81349,89,-0.329008
79835,90,-0.329008
81640,87,-0.329008
78832,93,-0.329008
81242,95,-0.329008
82115,86,-0.329008
78768,91,-0.329008
80404,89,-0.329008
81362,89,-0.329008
80547,88,-0.329008
84242,91,-0.329008
78752,92,-0.329008
81444,89,-0.329008
80673,93,-0.329008
82070,92,-0.329008
81645,89,-0.329008
79795,89,-0.329008
78928,87,-0.329008
79700,91,-0.329008
84007,88,-0.329008
80522,91,-0.329008
85141,81,-0.329008
80721,92,-0.329008
81108,91,-0.329008
81356,92,-0.329008
83232,92,-0.329008
79972,91,-0.329008
82001,92,-0.329008
84034,92,-0.329008
80372,94,-0.329008
82751,88,-0.329008
82415,88,-0.329008
82672,89,-0.329008
81264,92,-0.329008
83299,86,-0.329008
83975,89,-0.329008
83664,88,-0.329008
79971,92,-0.329008
78568,94,-0.329008
77693,89,-0.329008
82453,87,-0.329008
83144,92,-0.329008
84034,88,-0.329008
80002,90,-0.329008
79318,93,-0.329008
81852,93,-0.329008
79652,89,-0.329008
79806,91,-0.329008
79194,90,-0.329008
80273,90,-0.329008
77952,93,-0.329008
84333,83,-0.329008
77407,93,-0.329008
79819,93,-0.329008
81175,85,-0.329008
84129,89,-0.329008
85378,87,-0.329008
79156,89,-0.329008
81191,91,-0.329008
77844,90,-0.329008
78483,93,-0.329008
84206,87,-0.329008
82116,92,-0.329008
79805,90,-0.329008
80394,92,-0.329008
78553,92,-0.329008
78128,93,-0.329008
83104,89,-0.329008
82857,86,-0.329008
78110,90,-0.329008
81401,90,-0.329008
80479,90,-0.329008
82108,89,-0.329008
82975,91,-0.329008
83835,87,-0.329008
85583,85,-0.329008
84428,90,-0.329008
81204,91,-0.329008
83740,92,-0.329008
83145,90,-0.329008
82128,91,-0.329008
80177,89,-0.329008
81116,91,-0.329008
80258,89,-0.329008
77698,92,-0.329008
81296,89,-0.329008
83179,89,-0.329008
82300,92,-0.329008
80358,90,-0.329008
80145,92,-0.329008
80965,91,-0.329008
81398,92,-0.329008
81116,89,-0.329008
79893,92,-0.329008
79377,87,-0.329008
82676,91,-0.329008
83235,87,-0.329008
79576,91,-0.329008
85053,86,-0.329008
81607,90,-0.329008
83591,90,-0.329008
81922,91,-0.329008
85219,91,-0.329008
79462,92,-0.329008
80689,91,-0.329008
84803,91,-0.329008
84455,91,-0.329008
80303,92,-0.329008
85402,89,-0.329008
83036,88,-0.329008
78045,94,-0.329008
83144,87,-0.329008
80541,92,-0.329008
78283,93,-0.329008
81386,92,-0.329008
86556,88,-0.329008
81208,94,-0.329008
82812,90,-0.329008
81073,90,-0.329008
82308,86,-0.329008
81170,88,-0.329008
80432,91,-0.329008
82086,93,-0.329008
80997,89,-0.329008
80141,90,-0.329008
80500,93,-0.329008
76066,90,-0.329008
82615,90,-0.329008
80115,91,-0.329008
82733,92,-0.329008
80068,92,-0.329008
77530,92,-0.329008
81804,91,-0.329008
79183,92,-0.329008
81187,87,-0.329008
82750,87,-0.329008
83453,90,-0.329008
81266,94,-0.329008
83906,93,-0.329008
81972,91,-0.329008
82972,94,-0.329008
78059,94,-0.329008
83029,91,-0.329008
79128,93,-0.329008
80199,91,-0.329008
79513,92,-0.329008
80399,88,-0.329008
80184,95,-0.329008
82592,87,-0.329008
82605,92,-0.329008
81948,90,-0.329008
78203,89,-0.329008
83071,89,-0.329008
82311,90,-0.329008
83608,85,-0.329008
79999,91,-0.329008
80921,86,-0.329008
81567,92,-0.329008
80926,91,-0.329008
82253,91,-0.329008
82998,90,-0.329008
83632,89,-0.329008
81657,89,-0.329008
83568,87,-0.329008
79161,90,-0.329008
82808,91,-0.329008
82354,88,-0.329008
79264,89,-0.329008
82868,90,-0.329008
85310,88,-0.329008
79663,88,-0.329008
81820,93,-0.329008
81279,90,-0.329008
81425,90,-0.329008
81286,90,-0.329008
81770,93,-0.329008
80563,93,-0.329008
77370,91,-0.329008
78110,89,-0.329008
80695,89,-0.329008
81926,90,-0.329008
78778,92,-0.329008
84119,88,-0.329008
82667,89,-0.329008
81291,88,-0.329008
80141,90,-0.329008
77283,93,-0.329008
81530,88,-0.329008
78897,90,-0.329008
81984,88,-0.329008
82346,90,-0.329008
80952,93,-0.329008
79708,90,-0.329008
83785,90,-0.329008
81000,87,-0.329008
79676,89,-0.329008
83700,91,-0.329008
78547,89,-0.329008
82437,91,-0.329008
80396,91,-0.329008
85256,89,-0.329008
81573,90,-0.329008
83334,91,-0.329008
78265,89,-0.329008
81099,95,-0.329008
81314,89,-0.329008
81124,89,-0.329008
78277,92,-0.329008
83295,87,-0.329008
78342,91,-0.329008
80604,89,-0.329008
76993,93,-0.329008
80185,90,-0.329008
77545,89,-0.329008
80685,90,-0.329008
79857,92,-0.329008
84960,89,-0.329008
81778,93,-0.329008
81368,88,-0.329008
83236,90,-0.329008
81638,90,-0.329008
81626,92,-0.329008
82018,90,-0.329008
82403,90,-0.329008
83743,87,-0.329008
77540,92,-0.329008
78552,91,-0.329008
80530,90,-0.329008
80964,89,-0.329008
81292,86,-0.329008
