objective,similarity,correlation
54060,20.1682,-0.782203
53734,22.1722,-0.782203
54758,22.9219,-0.782203
56324,20.9039,-0.782203
51121,24.1401,-0.782203
51757,25.971,-0.782203
55367,21.022,-0.782203
54862,20.6056,-0.782203
56386,21.4945,-0.782203
55890,20.6186,-0.782203
55091,21.997,-0.782203
54695,21.8268,-0.782203
52772,22.2232,-0.782203
52888,20.5265,-0.782203
55127,20.4765,-0.782203
54186,23.2953,-0.782203
53713,24.2012,-0.782203
59217,17.4354,-0.782203
54041,23.1602,-0.782203
55294,19.6667,-0.782203
54265,22.009,-0.782203
51958,24.6476,-0.782203
51727,24.8589,-0.782203
56818,19.1832,-0.782203
53146,23.8599,-0.782203
54401,22.001,-0.782203
54781,21.4134,-0.782203
56691,20.6086,-0.782203
56193,20.1251,-0.782203
53208,24.3814,-0.782203
52215,24.4795,-0.782203
56211,20.1401,-0.782203
54433,23.9029,-0.782203
54867,23.6867,-0.782203
53853,22.1622,-0.782203
54123,23.0501,-0.782203
53400,22.4655,-0.782203
53375,23.983,-0.782203
51992,22.8008,-0.782203
55349,21.3253,-0.782203
53747,22.963,-0.782203
55029,20.048,-0.782203
57476,19.6917,-0.782203
54851,21.041,-0.782203
51745,23.7918,-0.782203
52961,23.2082,-0.782203
51325,22.5345,-0.782203
56070,19.6557,-0.782203
50928,26.2212,-0.782203
55249,21.4875,-0.782203
52477,23.2132,-0.782203
55858,22.4935,-0.782203
53352,21.6587,-0.782203
53541,22.5696,-0.782203
54525,22.3113,-0.782203
55593,22.035,-0.782203
53329,21.8899,-0.782203
55469,20.976,-0.782203
53577,23.2192,-0.782203
52898,22.0991,-0.782203
53417,24.1461,-0.782203
53696,21.2933,-0.782203
56045,21.1251,-0.782203
55215,22.3213,-0.782203
53338,22.5295,-0.782203
52835,22.4755,-0.782203
54350,23.3353,-0.782203
54518,22.6677,-0.782203
55126,21.6867,-0.782203
55036,20.6707,-0.782203
53921,21.8388,-0.782203
56226,22.5866,-0.782203
54061,23.8939,-0.782203
52563,23.4034,-0.782203
52544,23.8739,-0.782203
54684,23.049,-0.782203
53149,24.8108,-0.782203
53365,24.2192,-0.782203
52794,22.0571,-0.782203
55985,20.2352,-0.782203
53678,23.6386,-0.782203
54326,22.2843,-0.782203
55072,22.5886,-0.782203
52840,21.2132,-0.782203
54394,22.5095,-0.782203
56633,19.7738,-0.782203
52997,23.5025,-0.782203
53543,22.9359,-0.782203
51476,24.4054,-0.782203
53095,23.5616,-0.782203
51716,24.4244,-0.782203
58103,19.02,-0.782203
50959,25.8519,-0.782203
51213,24.4224,-0.782203
52711,20.982,-0.782203
52891,24.2272,-0.782203
53275,24.8689,-0.782203
53377,23.3834,-0.782203
54906,24.1071,-0.782203
52230,23.6206,-0.782203
53670,21.8248,-0.782203
54797,21.8078,-0.782203
54992,23.3784,-0.782203
54163,21.8649,-0.782203
54924,21.3984,-0.782203
56053,21.2973,-0.782203
52269,22.956,-0.782203
54613,20.7728,-0.782203
53711,24.3634,-0.782203
55493,22.2923,-0.782203
56677,22.8529,-0.782203
55548,21.6857,-0.782203
55359,21.6797,-0.782203
56683,19.7808,-0.782203
54998,20.8108,-0.782203
58712,18.6917,-0.782203
54033,22.3854,-0.782203
50792,26.2432,-0.782203
50336,25.3093,-0.782203
52869,24.2432,-0.782203
54029,23.03,-0.782203
54142,21.2913,-0.782203
55719,20.4334,-0.782203
52214,25.4535,-0.782203
52406,24.3253,-0.782203
54835,22.5626,-0.782203
53575,21.3634,-0.782203
53884,22.5475,-0.782203
53843,21.6096,-0.782203
52930,22.8969,-0.782203
56112,20.2563,-0.782203
53047,21.7067,-0.782203
53002,24.1862,-0.782203
54081,22.1351,-0.782203
52326,22.5245,-0.782203
55688,22.3604,-0.782203
56526,19.8529,-0.782203
53562,21.4655,-0.782203
55553,21.6947,-0.782203
56799,21.6747,-0.782203
57874,19.5495,-0.782203
53088,23.1922,-0.782203
54785,21.6386,-0.782203
53041,22.6917,-0.782203
56494,19.6677,-0.782203
56425,21.4134,-0.782203
56788,20.0551,-0.782203
56115,22.8739,-0.782203
55714,20.4515,-0.782203
54623,22.7888,-0.782203
53095,22.6486,-0.782203
51516,24.5305,-0.782203
55451,20.1031,-0.782203
52958,22.993,-0.782203
52733,22.7848,-0.782203
56546,20.5335,-0.782203
54324,20.6176,-0.782203
54391,21.3934,-0.782203
55069,21.972,-0.782203
59073,21.5526,-0.782203
53932,21.6106,-0.782203
54368,21.4645,-0.782203
54984,21.7347,-0.782203
52546,23.4715,-0.782203
53019,22.4545,-0.782203
57137,20.3934,-0.782203
52671,23.4835,-0.782203
52851,24.1351,-0.782203
54123,22.0981,-0.782203
54823,21.3203,-0.782203
52870,25.2843,-0.782203
55622,20.4885,-0.782203
55600,21.1542,-0.782203
57731,20.1161,-0.782203
55416,22.9239,-0.782203
54366,20.7427,-0.782203
53990,21.038,-0.782203
57595,21.3123,-0.782203
55173,20.3163,-0.782203
54098,22.8298,-0.782203
52532,24.2523,-0.782203
53826,22.955,-0.782203
51827,22.4905,-0.782203
55056,21.1371,-0.782203
52914,21.3053,-0.782203
54675,21.045,-0.782203
54196,22.4024,-0.782203
56170,19.6436,-0.782203
52016,24.028,-0.782203
52924,22.2943,-0.782203
55541,19.8559,-0.782203
53221,22.8238,-0.782203
54584,21.7417,-0.782203
54974,21.8999,-0.782203
52206,23.1962,-0.782203
52938,21.2603,-0.782203
53265,22.0621,-0.782203
51274,24.5736,-0.782203
54646,21.3383,-0.782203
53428,22.9259,-0.782203
55837,21.5526,-0.782203
55305,23.0871,-0.782203
53804,21.5636,-0.782203
55605,20.8899,-0.782203
54164,20.8438,-0.782203
54574,21.9359,-0.782203
54991,21.2492,-0.782203
55198,20.999,-0.782203
55473,20.9319,-0.782203
54278,22.0951,-0.782203
53722,22.0801,-0.782203
54300,21.9029,-0.782203
52805,22.5786,-0.782203
53163,25,-0.782203
54181,22.7638,-0.782203
53058,23.2262,-0.782203
54675,21.4605,-0.782203
52863,24.2152,-0.782203
55061,20.2853,-0.782203
51675,23.5626,-0.782203
54802,22.4244,-0.782203
53798,23.4895,-0.782203
53047,23.9489,-0.782203
54697,22.1381,-0.782203
56961,20.977,-0.782203
56125,21.7558,-0.782203
52468,23.6216,-0.782203
54558,21.049,-0.782203
53638,22.6076,-0.782203
54941,21.5686,-0.782203
55194,22.1612,-0.782203
52440,23.2603,-0.782203
53913,22.5495,-0.782203
52569,24.2603,-0.782203
54867,21.3473,-0.782203
56077,21.9119,-0.782203
54578,22.5175,-0.782203
53848,22.6547,-0.782203
52020,24.0931,-0.782203
54235,21.7678,-0.782203
54137,22.7928,-0.782203
54945,22.2032,-0.782203
54286,21.8228,-0.782203
56741,22.7698,-0.782203
52542,25.6687,-0.782203
51453,25.1061,-0.782203
53045,23.8318,-0.782203
54106,21.8068,-0.782203
54738,21.5065,-0.782203
51716,23.4595,-0.782203
53506,23.6456,-0.782203
53562,22.8869,-0.782203
56856,18.7798,-0.782203
54570,23.1221,-0.782203
54246,22.7257,-0.782203
53196,22.4204,-0.782203
54360,23.1842,-0.782203
57855,20.1421,-0.782203
50796,25.2993,-0.782203
53322,23.4004,-0.782203
54929,23.3694,-0.782203
51238,24.0501,-0.782203
51946,23.9319,-0.782203
56044,21.4284,-0.782203
53414,21.5636,-0.782203
55548,22.0741,-0.782203
53293,22.2713,-0.782203
55470,22.9419,-0.782203
58180,19.6697,-0.782203
51607,23.8488,-0.782203
53146,23.9379,-0.782203
52085,23.8098,-0.782203
52879,22.8629,-0.782203
54104,21.5445,-0.782203
54379,21.5005,-0.782203
52480,22.4454,-0.782203
55522,20.3253,-0.782203
52847,23.7538,-0.782203
53993,22.0601,-0.782203
54933,22.041,-0.782203
52122,23.8408,-0.782203
53619,21.8088,-0.782203
56875,20.8969,-0.782203
54635,21.6086,-0.782203
54938,21.2523,-0.782203
55143,22.1682,-0.782203
52626,24.7938,-0.782203
57089,22.0581,-0.782203
53727,22.7017,-0.782203
55573,22.2773,-0.782203
54738,20.9409,-0.782203
54988,21.3253,-0.782203
55036,21.6256,-0.782203
52789,25.6877,-0.782203
54565,20.7157,-0.782203
55853,20.4244,-0.782203
52764,23.2723,-0.782203
53917,20.6887,-0.782203
54021,22.2573,-0.782203
53499,22.6887,-0.782203
53060,23.1391,-0.782203
55414,21.4254,-0.782203
54805,24.029,-0.782203
54185,22.5015,-0.782203
55131,21.7237,-0.782203
53523,23.0581,-0.782203
57042,20.5035,-0.782203
54739,21.8148,-0.782203
57716,20.6707,-0.782203
52671,24.2242,-0.782203
55411,21.6076,-0.782203
54354,22.6326,-0.782203
53026,23.5065,-0.782203
55486,20.8559,-0.782203
52290,25.5836,-0.782203
54187,23.3283,-0.782203
54848,21.0611,-0.782203
53957,21.4565,-0.782203
55929,22.5245,-0.782203
52276,24.98,-0.782203
50644,24.8328,-0.782203
54648,21.6837,-0.782203
55833,21.6957,-0.782203
54571,22.5035,-0.782203
52804,23.6817,-0.782203
53419,21.9109,-0.782203
54106,21.5405,-0.782203
54831,20.3664,-0.782203
52308,24.03,-0.782203
52027,23.6036,-0.782203
54346,22.9099,-0.782203
55810,19.8949,-0.782203
52203,22.8408,-0.782203
56830,19.4214,-0.782203
53800,23.1922,-0.782203
55652,22.4895,-0.782203
53854,22.0861,-0.782203
52114,22.987,-0.782203
55239,20.8028,-0.782203
53963,21.9129,-0.782203
55427,21.9429,-0.782203
52991,23.2953,-0.782203
55898,21.049,-0.782203
53402,22.1221,-0.782203
55096,21.7067,-0.782203
53660,22.1682,-0.782203
54579,21.974,-0.782203
51441,24.9019,-0.782203
52293,23.2112,-0.782203
52931,21.988,-0.782203
54066,22.5776,-0.782203
53204,24.952,-0.782203
55823,21.7267,-0.782203
53195,23.03,-0.782203
51896,22.7057,-0.782203
53086,22.002,-0.782203
54818,23.6667,-0.782203
55190,22.3413,-0.782203
54035,21.8388,-0.782203
53695,22.1231,-0.782203
53539,23.5085,-0.782203
54035,22.7217,-0.782203
54246,22.8378,-0.782203
57119,20.2322,-0.782203
55434,20.6767,-0.782203
53539,22.7788,-0.782203
53416,23.8639,-0.782203
50691,24.4695,-0.782203
55540,21.8899,-0.782203
54902,22.9219,-0.782203
53476,22.3944,-0.782203
54226,21.6496,-0.782203
55247,21.03,-0.782203
54349,21.8418,-0.782203
54317,22.5425,-0.782203
55323,21.2683,-0.782203
53804,22.1592,-0.782203
52918,22.3283,-0.782203
54335,24.1962,-0.782203
53614,22.4705,-0.782203
52093,24.2703,-0.782203
52785,23.5756,-0.782203
53867,22.0531,-0.782203
53709,23.3473,-0.782203
53916,22.9069,-0.782203
55907,22.1181,-0.782203
54347,22.8198,-0.782203
54499,23.1962,-0.782203
54386,22.1682,-0.782203
53620,24.8929,-0.782203
56543,22.1522,-0.782203
53667,22.981,-0.782203
52361,23.9039,-0.782203
53985,22.5335,-0.782203
55657,20.2092,-0.782203
56650,20.958,-0.782203
52863,22.5215,-0.782203
55351,22.1562,-0.782203
54738,21.7538,-0.782203
52312,23.9119,-0.782203
56107,20.9439,-0.782203
53467,23.4825,-0.782203
51772,24.7427,-0.782203
55350,21.9379,-0.782203
54900,22.0951,-0.782203
54416,21.0631,-0.782203
54038,21.6386,-0.782203
54292,21.7758,-0.782203
54966,23.1722,-0.782203
54897,22.021,-0.782203
52638,24.5706,-0.782203
56773,20.6547,-0.782203
55447,21.029,-0.782203
52995,24.1151,-0.782203
54975,22.3874,-0.782203
53597,21.9079,-0.782203
54937,21.5425,-0.782203
53322,23.8639,-0.782203
53132,21.8729,-0.782203
55162,20.8478,-0.782203
54535,20.953,-0.782203
54263,22.024,-0.782203
53902,21.1892,-0.782203
53899,21.2873,-0.782203
54980,20.7397,-0.782203
53904,22.0761,-0.782203
52844,25.3243,-0.782203
53062,23.7197,-0.782203
55693,21.042,-0.782203
53354,23.4344,-0.782203
54497,22.9389,-0.782203
52363,22.9379,-0.782203
55929,20.8448,-0.782203
53038,23.1331,-0.782203
55473,21.5185,-0.782203
52731,20.6947,-0.782203
53048,22.6937,-0.782203
55676,20.8028,-0.782203
55426,22.7397,-0.782203
56406,20.3654,-0.782203
51976,24.7067,-0.782203
54831,21.3594,-0.782203
52567,22.7848,-0.782203
57938,20.0961,-0.782203
57426,19.6887,-0.782203
54100,21.3373,-0.782203
