objective,similarity,correlation
54060,22,-0.404535
53734,26,-0.404535
54758,25,-0.404535
56324,25,-0.404535
51121,25,-0.404535
51757,30,-0.404535
55367,26,-0.404535
54862,23,-0.404535
56386,25,-0.404535
55890,17,-0.404535
55091,28,-0.404535
54695,26,-0.404535
52772,25,-0.404535
52888,23,-0.404535
55127,22,-0.404535
54186,27,-0.404535
53713,31,-0.404535
59217,16,-0.404535
54041,21,-0.404535
55294,22,-0.404535
54265,23,-0.404535
51958,24,-0.404535
51727,25,-0.404535
56818,24,-0.404535
53146,35,-0.404535
54401,31,-0.404535
54781,25,-0.404535
56691,18,-0.404535
56193,23,-0.404535
53208,28,-0.404535
52215,29,-0.404535
56211,27,-0.404535
54433,24,-0.404535
54867,28,-0.404535
53853,27,-0.404535
54123,26,-0.404535
53400,28,-0.404535
53375,27,-0.404535
51992,23,-0.404535
55349,28,-0.404535
53747,25,-0.404535
55029,25,-0.404535
57476,24,-0.404535
54851,22,-0.404535
51745,29,-0.404535
52961,31,-0.404535
51325,30,-0.404535
56070,25,-0.404535
50928,30,-0.404535
55249,38,-0.404535
52477,24,-0.404535
55858,27,-0.404535
53352,25,-0.404535
53541,28,-0.404535
54525,28,-0.404535
55593,26,-0.404535
53329,25,-0.404535
55469,24,-0.404535
53577,22,-0.404535
52898,28,-0.404535
53417,31,-0.404535
53696,24,-0.404535
56045,20,-0.404535
55215,26,-0.404535
53338,29,-0.404535
52835,30,-0.404535
54350,25,-0.404535
54518,33,-0.404535
55126,25,-0.404535
55036,22,-0.404535
53921,26,-0.404535
56226,32,-0.404535
54061,36,-0.404535
52563,34,-0.404535
52544,28,-0.404535
54684,27,-0.404535
53149,31,-0.404535
53365,29,-0.404535
52794,26,-0.404535
55985,25,-0.404535
53678,26,-0.404535
54326,25,-0.404535
55072,22,-0.404535
52840,33,-0.404535
54394,29,-0.404535
56633,27,-0.404535
52997,31,-0.404535
53543,29,-0.404535
51476,29,-0.404535
53095,32,-0.404535
51716,27,-0.404535
58103,27,-0.404535
50959,39,-0.404535
51213,33,-0.404535
52711,23,-0.404535
52891,29,-0.404535
53275,27,-0.404535
53377,28,-0.404535
54906,30,-0.404535
52230,28,-0.404535
53670,30,-0.404535
54797,26,-0.404535
54992,30,-0.404535
54163,23,-0.404535
54924,26,-0.404535
56053,29,-0.404535
52269,30,-0.404535
54613,27,-0.404535
53711,29,-0.404535
55493,22,-0.404535
56677,26,-0.404535
55548,32,-0.404535
55359,17,-0.404535
56683,18,-0.404535
54998,25,-0.404535
58712,25,-0.404535
54033,23,-0.404535
50792,34,-0.404535
50336,32,-0.404535
52869,34,-0.404535
54029,24,-0.404535
54142,22,-0.404535
55719,23,-0.404535
52214,30,-0.404535
52406,30,-0.404535
54835,28,-0.404535
53575,24,-0.404535
53884,25,-0.404535
53843,26,-0.404535
52930,24,-0.404535
56112,24,-0.404535
53047,23,-0.404535
53002,30,-0.404535
54081,23,-0.404535
52326,29,-0.404535
55688,28,-0.404535
56526,16,-0.404535
53562,28,-0.404535
55553,22,-0.404535
56799,22,-0.404535
57874,22,-0.404535
53088,32,-0.404535
54785,24,-0.404535
53041,25,-0.404535
56494,24,-0.404535
56425,26,-0.404535
56788,20,-0.404535
56115,31,-0.404535
55714,25,-0.404535
54623,26,-0.404535
53095,28,-0.404535
51516,30,-0.404535
55451,22,-0.404535
52958,31,-0.404535
52733,26,-0.404535
56546,25,-0.404535
54324,26,-0.404535
54391,24,-0.404535
55069,29,-0.404535
59073,24,-0.404535
53932,30,-0.404535
54368,17,-0.404535
54984,22,-0.404535
52546,31,-0.404535
53019,24,-0.404535
57137,23,-0.404535
52671,27,-0.404535
52851,24,-0.404535
54123,23,-0.404535
54823,24,-0.404535
52870,29,-0.404535
55622,23,-0.404535
55600,27,-0.404535
57731,26,-0.404535
55416,24,-0.404535
54366,26,-0.404535
53990,21,-0.404535
57595,22,-0.404535
55173,20,-0.404535
54098,28,-0.404535
52532,34,-0.404535
53826,27,-0.404535
51827,32,-0.404535
55056,26,-0.404535
52914,29,-0.404535
54675,31,-0.404535
54196,28,-0.404535
56170,26,-0.404535
52016,25,-0.404535
52924,24,-0.404535
55541,25,-0.404535
53221,29,-0.404535
54584,26,-0.404535
54974,30,-0.404535
52206,22,-0.404535
52938,31,-0.404535
53265,25,-0.404535
51274,30,-0.404535
54646,26,-0.404535
53428,23,-0.404535
55837,31,-0.404535
55305,27,-0.404535
53804,30,-0.404535
55605,28,-0.404535
54164,27,-0.404535
54574,24,-0.404535
54991,25,-0.404535
55198,26,-0.404535
55473,21,-0.404535
54278,24,-0.404535
53722,27,-0.404535
54300,19,-0.404535
52805,29,-0.404535
53163,31,-0.404535
54181,27,-0.404535
53058,27,-0.404535
54675,20,-0.404535
52863,36,-0.404535
55061,26,-0.404535
51675,38,-0.404535
54802,23,-0.404535
53798,24,-0.404535
53047,30,-0.404535
54697,28,-0.404535
56961,21,-0.404535
56125,29,-0.404535
52468,27,-0.404535
54558,26,-0.404535
53638,22,-0.404535
54941,28,-0.404535
55194,20,-0.404535
52440,29,-0.404535
53913,24,-0.404535
52569,26,-0.404535
54867,23,-0.404535
56077,26,-0.404535
54578,25,-0.404535
53848,26,-0.404535
52020,28,-0.404535
54235,25,-0.404535
54137,25,-0.404535
54945,20,-0.404535
54286,23,-0.404535
56741,24,-0.404535
52542,30,-0.404535
51453,33,-0.404535
53045,24,-0.404535
54106,27,-0.404535
54738,19,-0.404535
51716,29,-0.404535
53506,28,-0.404535
53562,25,-0.404535
56856,22,-0.404535
54570,26,-0.404535
54246,22,-0.404535
53196,27,-0.404535
54360,31,-0.404535
57855,24,-0.404535
50796,36,-0.404535
53322,29,-0.404535
54929,32,-0.404535
51238,25,-0.404535
51946,35,-0.404535
56044,22,-0.404535
53414,27,-0.404535
55548,30,-0.404535
53293,32,-0.404535
55470,30,-0.404535
58180,20,-0.404535
51607,23,-0.404535
53146,22,-0.404535
52085,24,-0.404535
52879,33,-0.404535
54104,27,-0.404535
54379,23,-0.404535
52480,22,-0.404535
55522,28,-0.404535
52847,24,-0.404535
53993,26,-0.404535
54933,26,-0.404535
52122,26,-0.404535
53619,25,-0.404535
56875,25,-0.404535
54635,21,-0.404535
54938,26,-0.404535
55143,29,-0.404535
52626,30,-0.404535
57089,26,-0.404535
53727,26,-0.404535
55573,29,-0.404535
54738,22,-0.404535
54988,23,-0.404535
55036,26,-0.404535
52789,30,-0.404535
54565,29,-0.404535
55853,20,-0.404535
52764,31,-0.404535
53917,22,-0.404535
54021,21,-0.404535
53499,26,-0.404535
53060,26,-0.404535
55414,29,-0.404535
54805,26,-0.404535
54185,23,-0.404535
55131,20,-0.404535
53523,34,-0.404535
57042,22,-0.404535
54739,26,-0.404535
57716,21,-0.404535
52671,29,-0.404535
55411,28,-0.404535
54354,22,-0.404535
53026,27,-0.404535
55486,28,-0.404535
52290,32,-0.404535
54187,26,-0.404535
54848,22,-0.404535
53957,22,-0.404535
55929,27,-0.404535
52276,27,-0.404535
50644,34,-0.404535
54648,28,-0.404535
55833,27,-0.404535
54571,28,-0.404535
52804,31,-0.404535
53419,34,-0.404535
54106,28,-0.404535
54831,23,-0.404535
52308,28,-0.404535
52027,27,-0.404535
54346,28,-0.404535
55810,25,-0.404535
52203,24,-0.404535
56830,24,-0.404535
53800,33,-0.404535
55652,27,-0.404535
53854,23,-0.404535
52114,29,-0.404535
55239,34,-0.404535
53963,31,-0.404535
55427,25,-0.404535
52991,22,-0.404535
55898,24,-0.404535
53402,23,-0.404535
55096,28,-0.404535
53660,28,-0.404535
54579,24,-0.404535
51441,29,-0.404535
52293,25,-0.404535
52931,30,-0.404535
54066,29,-0.404535
53204,29,-0.404535
55823,35,-0.404535
53195,34,-0.404535
51896,27,-0.404535
53086,28,-0.404535
54818,35,-0.404535
55190,29,-0.404535
54035,24,-0.404535
53695,31,-0.404535
53539,28,-0.404535
54035,29,-0.404535
54246,28,-0.404535
57119,31,-0.404535
55434,24,-0.404535
53539,30,-0.404535
53416,30,-0.404535
50691,23,-0.404535
55540,24,-0.404535
54902,29,-0.404535
53476,27,-0.404535
54226,22,-0.404535
55247,30,-0.404535
54349,25,-0.404535
54317,28,-0.404535
55323,26,-0.404535
53804,25,-0.404535
52918,25,-0.404535
54335,28,-0.404535
53614,24,-0.404535
52093,32,-0.404535
52785,30,-0.404535
53867,25,-0.404535
53709,32,-0.404535
53916,24,-0.404535
55907,20,-0.404535
54347,27,-0.404535
54499,21,-0.404535
54386,26,-0.404535
53620,34,-0.404535
56543,25,-0.404535
53667,23,-0.404535
52361,33,-0.404535
53985,29,-0.404535
55657,26,-0.404535
56650,24,-0.404535
52863,25,-0.404535
55351,24,-0.404535
54738,33,-0.404535
52312,25,-0.404535
56107,30,-0.404535
53467,32,-0.404535
51772,29,-0.404535
55350,32,-0.404535
54900,22,-0.404535
54416,25,-0.404535
54038,25,-0.404535
54292,25,-0.404535
54966,27,-0.404535
54897,30,-0.404535
52638,31,-0.404535
56773,25,-0.404535
55447,35,-0.404535
52995,23,-0.404535
54975,31,-0.404535
53597,27,-0.404535
54937,27,-0.404535
53322,30,-0.404535
53132,22,-0.404535
55162,25,-0.404535
54535,25,-0.404535
54263,29,-0.404535
53902,34,-0.404535
53899,25,-0.404535
54980,23,-0.404535
53904,26,-0.404535
52844,37,-0.404535
53062,26,-0.404535
55693,24,-0.404535
53354,28,-0.404535
54497,27,-0.404535
52363,39,-0.404535
55929,20,-0.404535
53038,25,-0.404535
55473,26,-0.404535
52731,25,-0.404535
53048,27,-0.404535
55676,25,-0.404535
55426,27,-0.404535
56406,24,-0.404535
51976,33,-0.404535
54831,24,-0.404535
52567,26,-0.404535
57938,17,-0.404535
57426,22,-0.404535
54100,20,-0.404535
52339,21,-0.404535
52929,24,-0.404535
54230,32,-0.404535
54957,23,-0.404535
54436,21,-0.404535
53941,27,-0.404535
54865,37,-0.404535
57230,22,-0.404535
52562,23,-0.404535
55803,26,-0.404535
54483,30,-0.404535
52586,33,-0.404535
53599,24,-0.404535
53277,19,-0.404535
53208,31,-0.404535
53784,31,-0.404535
56586,20,-0.404535
54026,27,-0.404535
55198,27,-0.404535
55408,24,-0.404535
55918,24,-0.404535
53687,20,-0.404535
54512,22,-0.404535
54524,27,-0.404535
52616,19,-0.404535
54321,29,-0.404535
53999,28,-0.404535
54523,29,-0.404535
54974,23,-0.404535
53461,27,-0.404535
56355,24,-0.404535
53618,32,-0.404535
51238,28,-0.404535
55386,26,-0.404535
54515,32,-0.404535
53058,23,-0.404535
57309,26,-0.404535
51781,23,-0.404535
52577,26,-0.404535
52147,28,-0.404535
51862,34,-0.404535
52807,26,-0.404535
55030,22,-0.404535
53753,25,-0.404535
53986,32,-0.404535
51225,32,-0.404535
51813,25,-0.404535
54454,26,-0.404535
53391,30,-0.404535
52930,21,-0.404535
54121,26,-0.404535
53094,30,-0.404535
54926,24,-0.404535
54672,32,-0.404535
57423,25,-0.404535
56029,26,-0.404535
52695,32,-0.404535
54276,27,-0.404535
54874,29,-0.404535
54823,27,-0.404535
55429,23,-0.404535
52225,29,-0.404535
53492,24,-0.404535
52719,32,-0.404535
55830,28,-0.404535
52342,26,-0.404535
55294,25,-0.404535
53254,28,-0.404535
55585,27,-0.404535
53571,30,-0.404535
56408,27,-0.404535
53008,24,-0.404535
55134,29,-0.404535
54303,25,-0.404535
57047,25,-0.404535
50725,28,-0.404535
55120,26,-0.404535
57143,24,-0.404535
53418,28,-0.404535
56714,20,-0.404535
50302,34,-0.404535
57430,28,-0.404535
52985,35,-0.404535
53308,29,-0.404535
54921,24,-0.404535
56116,20,-0.404535
51664,28,-0.404535
53877,31,-0.404535
55541,27,-0.404535
52367,29,-0.404535
53128,27,-0.404535
54143,25,-0.404535
56144,17,-0.404535
53647,24,-0.404535
53821,27,-0.404535
56699,22,-0.404535
53596,26,-0.404535
55213,30,-0.404535
55885,30,-0.404535
52867,29,-0.404535
54638,24,-0.404535
51622,31,-0.404535
53394,32,-0.404535
54374,30,-0.404535
54031,22,-0.404535
53423,29,-0.404535
53924,30,-0.404535
54133,23,-0.404535
57494,24,-0.404535
52663,28,-0.404535
57163,24,-0.404535
56274,30,-0.404535
55084,21,-0.404535
52673,30,-0.404535
56029,27,-0.404535
53623,24,-0.404535
54509,20,-0.404535
53943,22,-0.404535
55436,25,-0.404535
54974,27,-0.404535
54091,25,-0.404535
55065,22,-0.404535
55583,26,-0.404535
53761,37,-0.404535
52014,21,-0.404535
54222,32,-0.404535
54471,20,-0.404535
54038,31,-0.404535
53988,20,-0.404535
54878,31,-0.404535
56250,26,-0.404535
53816,29,-0.404535
54674,25,-0.404535
54351,26,-0.404535
55279,26,-0.404535
54294,37,-0.404535
53173,27,-0.404535
51068,26,-0.404535
54822,28,-0.404535
54815,24,-0.404535
53379,20,-0.404535
55183,28,-0.404535
52933,37,-0.404535
55415,22,-0.404535
55163,28,-0.404535
53742,23,-0.404535
54955,21,-0.404535
54687,24,-0.404535
54115,30,-0.404535
56816,22,-0.404535
52562,31,-0.404535
54145,25,-0.404535
55125,30,-0.404535
52626,23,-0.404535
52130,28,-0.404535
53504,24,-0.404535
55549,28,-0.404535
54397,25,-0.404535
54507,33,-0.404535
56531,25,-0.404535
55713,24,-0.404535
53544,23,-0.404535
55431,26,-0.404535
52418,26,-0.404535
53392,29,-0.404535
56338,26,-0.404535
52415,30,-0.404535
56128,27,-0.404535
51756,24,-0.404535
53123,31,-0.404535
53205,31,-0.404535
57309,21,-0.404535
52250,31,-0.404535
52987,34,-0.404535
58115,26,-0.404535
56128,30,-0.404535
55800,20,-0.404535
52918,29,-0.404535
54493,29,-0.404535
52261,22,-0.404535
56546,24,-0.404535
55836,22,-0.404535
54805,26,-0.404535
52923,29,-0.404535
54728,21,-0.404535
54875,23,-0.404535
53273,26,-0.404535
52319,38,-0.404535
57221,25,-0.404535
52006,35,-0.404535
56312,24,-0.404535
55910,27,-0.404535
52667,37,-0.404535
51341,33,-0.404535
55277,27,-0.404535
54828,19,-0.404535
52620,25,-0.404535
53407,29,-0.404535
52767,41,-0.404535
53663,25,-0.404535
53887,30,-0.404535
52949,31,-0.404535
55040,29,-0.404535
57014,28,-0.404535
55112,26,-0.404535
55749,24,-0.404535
53698,30,-0.404535
54583,25,-0.404535
50798,33,-0.404535
55101,23,-0.404535
53477,26,-0.404535
53477,27,-0.404535
52743,28,-0.404535
56529,26,-0.404535
51761,32,-0.404535
54844,26,-0.404535
54313,34,-0.404535
53963,28,-0.404535
51777,24,-0.404535
53201,23,-0.404535
52164,34,-0.404535
55491,28,-0.404535
53334,23,-0.404535
55517,23,-0.404535
52042,35,-0.404535
53423,28,-0.404535
52386,35,-0.404535
52753,32,-0.404535
52913,25,-0.404535
51904,32,-0.404535
55799,24,-0.404535
52519,25,-0.404535
56576,20,-0.404535
56457,27,-0.404535
51743,29,-0.404535
54881,22,-0.404535
52171,28,-0.404535
53566,27,-0.404535
53599,30,-0.404535
53949,23,-0.404535
54466,23,-0.404535
56228,22,-0.404535
53645,28,-0.404535
56965,25,-0.404535
54253,25,-0.404535
52538,27,-0.404535
53076,29,-0.404535
54261,27,-0.404535
53817,31,-0.404535
52599,30,-0.404535
53476,25,-0.404535
54913,25,-0.404535
54395,26,-0.404535
54045,24,-0.404535
57439,29,-0.404535
52824,31,-0.404535
53081,31,-0.404535
56495,23,-0.404535
51470,28,-0.404535
54363,28,-0.404535
56270,27,-0.404535
53075,20,-0.404535
54276,22,-0.404535
53752,25,-0.404535
56142,18,-0.404535
52928,40,-0.404535
53435,20,-0.404535
55374,29,-0.404535
52695,27,-0.404535
55410,21,-0.404535
53587,21,-0.404535
51325,29,-0.404535
52953,22,-0.404535
54532,30,-0.404535
57278,20,-0.404535
53591,30,-0.404535
53650,29,-0.404535
53582,29,-0.404535
52191,29,-0.404535
57750,22,-0.404535
52370,29,-0.404535
51624,30,-0.404535
53780,24,-0.404535
52405,27,-0.404535
56674,27,-0.404535
53259,20,-0.404535
55990,26,-0.404535
56296,24,-0.404535
55321,19,-0.404535
52425,22,-0.404535
53282,34,-0.404535
55087,24,-0.404535
