objective,similarity,correlation
54060,25,-0.527225
53734,39,-0.527225
54758,32,-0.527225
56324,22,-0.527225
51121,37,-0.527225
51757,38,-0.527225
55367,27,-0.527225
54862,23,-0.527225
56386,33,-0.527225
55890,35,-0.527225
55091,29,-0.527225
54695,36,-0.527225
52772,35,-0.527225
52888,38,-0.527225
55127,24,-0.527225
54186,35,-0.527225
53713,34,-0.527225
59217,28,-0.527225
54041,34,-0.527225
55294,23,-0.527225
54265,34,-0.527225
51958,38,-0.527225
51727,34,-0.527225
56818,21,-0.527225
53146,34,-0.527225
54401,34,-0.527225
54781,37,-0.527225
56691,28,-0.527225
56193,31,-0.527225
53208,34,-0.527225
52215,41,-0.527225
56211,32,-0.527225
54433,38,-0.527225
54867,34,-0.527225
53853,30,-0.527225
54123,33,-0.527225
53400,34,-0.527225
53375,28,-0.527225
51992,35,-0.527225
55349,30,-0.527225
53747,37,-0.527225
55029,28,-0.527225
57476,27,-0.527225
54851,31,-0.527225
51745,33,-0.527225
52961,32,-0.527225
51325,37,-0.527225
56070,28,-0.527225
50928,33,-0.527225
55249,27,-0.527225
52477,39,-0.527225
55858,31,-0.527225
53352,28,-0.527225
53541,29,-0.527225
54525,30,-0.527225
55593,31,-0.527225
53329,32,-0.527225
55469,23,-0.527225
53577,34,-0.527225
52898,38,-0.527225
53417,36,-0.527225
53696,31,-0.527225
56045,31,-0.527225
55215,35,-0.527225
53338,36,-0.527225
52835,32,-0.527225
54350,30,-0.527225
54518,34,-0.527225
55126,29,-0.527225
55036,26,-0.527225
53921,31,-0.527225
56226,28,-0.527225
54061,35,-0.527225
52563,34,-0.527225
52544,33,-0.527225
54684,36,-0.527225
53149,33,-0.527225
53365,32,-0.527225
52794,31,-0.527225
55985,26,-0.527225
53678,35,-0.527225
54326,33,-0.527225
55072,33,-0.527225
52840,28,-0.527225
54394,33,-0.527225
56633,26,-0.527225
52997,33,-0.527225
53543,36,-0.527225
51476,42,-0.527225
53095,35,-0.527225
51716,38,-0.527225
58103,29,-0.527225
50959,42,-0.527225
51213,34,-0.527225
52711,28,-0.527225
52891,36,-0.527225
53275,35,-0.527225
53377,31,-0.527225
54906,38,-0.527225
52230,29,-0.527225
53670,33,-0.527225
54797,30,-0.527225
54992,31,-0.527225
54163,34,-0.527225
54924,29,-0.527225
56053,25,-0.527225
52269,31,-0.527225
54613,24,-0.527225
53711,32,-0.527225
55493,31,-0.527225
56677,36,-0.527225
55548,35,-0.527225
55359,34,-0.527225
56683,30,-0.527225
54998,25,-0.527225
58712,31,-0.527225
54033,32,-0.527225
50792,42,-0.527225
50336,40,-0.527225
52869,39,-0.527225
54029,30,-0.527225
54142,27,-0.527225
55719,23,-0.527225
52214,44,-0.527225
52406,32,-0.527225
54835,33,-0.527225
53575,37,-0.527225
53884,35,-0.527225
53843,35,-0.527225
52930,28,-0.527225
56112,26,-0.527225
53047,39,-0.527225
53002,33,-0.527225
54081,31,-0.527225
52326,35,-0.527225
55688,33,-0.527225
56526,29,-0.527225
53562,35,-0.527225
55553,31,-0.527225
56799,32,-0.527225
57874,26,-0.527225
53088,32,-0.527225
54785,31,-0.527225
53041,34,-0.527225
56494,31,-0.527225
56425,30,-0.527225
56788,28,-0.527225
56115,31,-0.527225
55714,26,-0.527225
54623,33,-0.527225
53095,29,-0.527225
51516,47,-0.527225
55451,26,-0.527225
52958,33,-0.527225
52733,30,-0.527225
56546,28,-0.527225
54324,25,-0.527225
54391,29,-0.527225
55069,38,-0.527225
59073,27,-0.527225
53932,32,-0.527225
54368,33,-0.527225
54984,34,-0.527225
52546,27,-0.527225
53019,21,-0.527225
57137,26,-0.527225
52671,36,-0.527225
52851,38,-0.527225
54123,26,-0.527225
54823,27,-0.527225
52870,37,-0.527225
55622,26,-0.527225
55600,27,-0.527225
57731,31,-0.527225
55416,35,-0.527225
54366,38,-0.527225
53990,26,-0.527225
57595,29,-0.527225
55173,24,-0.527225
54098,33,-0.527225
52532,33,-0.527225
53826,37,-0.527225
51827,27,-0.527225
55056,29,-0.527225
52914,37,-0.527225
54675,32,-0.527225
54196,28,-0.527225
56170,28,-0.527225
52016,41,-0.527225
52924,28,-0.527225
55541,30,-0.527225
53221,35,-0.527225
54584,31,-0.527225
54974,29,-0.527225
52206,35,-0.527225
52938,26,-0.527225
53265,29,-0.527225
51274,40,-0.527225
54646,32,-0.527225
53428,30,-0.527225
55837,27,-0.527225
55305,31,-0.527225
53804,37,-0.527225
55605,27,-0.527225
54164,32,-0.527225
54574,38,-0.527225
54991,26,-0.527225
55198,35,-0.527225
55473,30,-0.527225
54278,34,-0.527225
53722,33,-0.527225
54300,31,-0.527225
52805,36,-0.527225
53163,42,-0.527225
54181,28,-0.527225
53058,30,-0.527225
54675,28,-0.527225
52863,30,-0.527225
55061,26,-0.527225
51675,35,-0.527225
54802,30,-0.527225
53798,34,-0.527225
53047,38,-0.527225
54697,33,-0.527225
56961,32,-0.527225
56125,31,-0.527225
52468,35,-0.527225
54558,25,-0.527225
53638,34,-0.527225
54941,32,-0.527225
55194,35,-0.527225
52440,34,-0.527225
53913,30,-0.527225
52569,37,-0.527225
54867,34,-0.527225
56077,31,-0.527225
54578,33,-0.527225
53848,33,-0.527225
52020,37,-0.527225
54235,35,-0.527225
54137,33,-0.527225
54945,36,-0.527225
54286,28,-0.527225
56741,35,-0.527225
52542,39,-0.527225
51453,38,-0.527225
53045,44,-0.527225
54106,32,-0.527225
54738,33,-0.527225
51716,36,-0.527225
53506,31,-0.527225
53562,32,-0.527225
56856,25,-0.527225
54570,32,-0.527225
54246,31,-0.527225
53196,28,-0.527225
54360,29,-0.527225
57855,26,-0.527225
50796,39,-0.527225
53322,38,-0.527225
54929,36,-0.527225
51238,36,-0.527225
51946,36,-0.527225
56044,34,-0.527225
53414,32,-0.527225
55548,31,-0.527225
53293,24,-0.527225
55470,36,-0.527225
58180,24,-0.527225
51607,35,-0.527225
53146,33,-0.527225
52085,41,-0.527225
52879,29,-0.527225
54104,27,-0.527225
54379,35,-0.527225
52480,35,-0.527225
55522,29,-0.527225
52847,30,-0.527225
53993,33,-0.527225
54933,31,-0.527225
52122,31,-0.527225
53619,31,-0.527225
56875,29,-0.527225
54635,28,-0.527225
54938,31,-0.527225
