objective,similarity,correlation
55756,83.044,-0.345108
59489,79.6817,-0.345108
52649,84.4214,-0.345108
57573,81.4484,-0.345108
53253,83.9239,-0.345108
53182,83.8238,-0.345108
52384,84.0691,-0.345108
51895,83.7818,-0.345108
54821,84.7588,-0.345108
55635,81.5295,-0.345108
55002,81.5766,-0.345108
55697,84.962,-0.345108
53903,82.8468,-0.345108
55393,81.6517,-0.345108
55682,80.043,-0.345108
57363,81.4394,-0.345108
54955,82.1992,-0.345108
53827,83.2332,-0.345108
52460,84.8228,-0.345108
53575,82.1311,-0.345108
53870,82.4995,-0.345108
54772,83.3003,-0.345108
56225,82.9429,-0.345108
54332,84.8799,-0.345108
51112,84.1261,-0.345108
56839,82.8869,-0.345108
53921,82.027,-0.345108
56739,81.2192,-0.345108
51851,82.4735,-0.345108
57100,78.4575,-0.345108
52794,83.046,-0.345108
54476,82.5796,-0.345108
53814,82.7187,-0.345108
53413,82.6987,-0.345108
52305,83.5185,-0.345108
53064,82.6827,-0.345108
53285,83.1311,-0.345108
53278,82.5475,-0.345108
53341,84.5836,-0.345108
53855,83.9179,-0.345108
54263,82.6957,-0.345108
54840,83.0951,-0.345108
51813,82.5475,-0.345108
51701,83.4665,-0.345108
50770,81.7598,-0.345108
52680,83.2503,-0.345108
55483,83.2402,-0.345108
53275,83.3043,-0.345108
55011,82.4975,-0.345108
54940,80.1191,-0.345108
50427,85.1061,-0.345108
56634,81.6116,-0.345108
53782,83.5906,-0.345108
53040,83.973,-0.345108
53299,82.7377,-0.345108
54389,81.3894,-0.345108
53219,82.8549,-0.345108
49988,84.1041,-0.345108
53084,82.1672,-0.345108
53140,83.3153,-0.345108
50491,80.3103,-0.345108
52011,83.968,-0.345108
55121,80.2773,-0.345108
54527,84.3924,-0.345108
53937,83.8849,-0.345108
58703,82.3133,-0.345108
53042,81.4665,-0.345108
56232,83.6987,-0.345108
54365,80.0911,-0.345108
54713,83.4855,-0.345108
54276,82.9499,-0.345108
55691,82.3934,-0.345108
54066,84.2412,-0.345108
53181,82.6857,-0.345108
52435,80.7818,-0.345108
53550,83.6587,-0.345108
53826,82.6887,-0.345108
55929,82.2973,-0.345108
53356,82.1882,-0.345108
52087,82.8368,-0.345108
51608,84.1321,-0.345108
53018,83.8398,-0.345108
51850,82.1441,-0.345108
56230,82.1221,-0.345108
55439,82.6867,-0.345108
54372,83.3283,-0.345108
53805,82.3053,-0.345108
53738,83.7057,-0.345108
53317,82.6807,-0.345108
54503,82.1742,-0.345108
54288,83.5115,-0.345108
50865,83.8989,-0.345108
54023,84.3534,-0.345108
50623,82.006,-0.345108
51468,84.1722,-0.345108
54539,83.5395,-0.345108
55668,82,-0.345108
49800,83.989,-0.345108
53562,81.011,-0.345108
53733,83.0871,-0.345108
50967,83.1081,-0.345108
53801,83.9439,-0.345108
54088,84.4615,-0.345108
55942,83.1171,-0.345108
54226,81.4705,-0.345108
54906,80.7868,-0.345108
55472,83.963,-0.345108
52431,81.8589,-0.345108
56152,82.3864,-0.345108
54060,84.8789,-0.345108
55206,83.959,-0.345108
55557,83.8729,-0.345108
54571,81.2042,-0.345108
56847,82.7097,-0.345108
53342,82.7057,-0.345108
54725,78.1021,-0.345108
54959,83.1572,-0.345108
53849,83.6617,-0.345108
56688,80.1782,-0.345108
52407,84.4394,-0.345108
51007,83.6486,-0.345108
54977,83.959,-0.345108
52580,83.8999,-0.345108
56713,81.1962,-0.345108
53870,82.3584,-0.345108
52757,83.1622,-0.345108
54342,84.9299,-0.345108
53687,84.2883,-0.345108
54952,80.1041,-0.345108
56807,81.7397,-0.345108
54031,83.1882,-0.345108
52742,84.6306,-0.345108
54704,81.975,-0.345108
53625,83.7407,-0.345108
54326,82.1512,-0.345108
56589,81.4494,-0.345108
52286,83.4895,-0.345108
53100,83.022,-0.345108
52497,83.1952,-0.345108
54611,84.3453,-0.345108
52441,82.0661,-0.345108
55825,82.1091,-0.345108
52109,85.042,-0.345108
55758,80.2893,-0.345108
52823,82.6927,-0.345108
53824,84.4895,-0.345108
53381,82.8408,-0.345108
54065,83.0901,-0.345108
53039,82.2382,-0.345108
54920,82.7968,-0.345108
56301,80.4635,-0.345108
53893,85.1942,-0.345108
52347,84.8438,-0.345108
53339,85.6336,-0.345108
52791,83.5035,-0.345108
51905,81.2823,-0.345108
53563,80.952,-0.345108
55238,83.5175,-0.345108
55660,82.9349,-0.345108
56434,83.4104,-0.345108
53642,83.2693,-0.345108
55977,83.2813,-0.345108
53131,80.7307,-0.345108
53778,82.7137,-0.345108
52486,84.5726,-0.345108
54329,81.8238,-0.345108
49515,82.3774,-0.345108
55434,82.4725,-0.345108
61043,77.7978,-0.345108
53895,82.978,-0.345108
55700,81.048,-0.345108
51939,84.7417,-0.345108
54274,83.1251,-0.345108
53744,80.9019,-0.345108
55140,79.3493,-0.345108
52408,83.6466,-0.345108
53780,82.6637,-0.345108
54125,81.024,-0.345108
56342,81.8268,-0.345108
56306,79.7297,-0.345108
53790,84.1061,-0.345108
53642,84.4194,-0.345108
53280,83.029,-0.345108
54627,81.6036,-0.345108
55340,82.5826,-0.345108
54867,84.8789,-0.345108
53123,84.2503,-0.345108
52699,83.6466,-0.345108
54735,81.0641,-0.345108
55277,85.5696,-0.345108
54091,82.6617,-0.345108
57245,80.984,-0.345108
54463,82.006,-0.345108
51762,83.5646,-0.345108
52889,83.982,-0.345108
51496,83.8078,-0.345108
55021,83.7568,-0.345108
54658,82.995,-0.345108
56676,81.4995,-0.345108
55754,82.2252,-0.345108
54781,83.3704,-0.345108
54831,82.958,-0.345108
52615,84.5425,-0.345108
54419,81.7758,-0.345108
53147,81.6346,-0.345108
55258,82.994,-0.345108
54924,81.0771,-0.345108
54836,82.4394,-0.345108
52097,83.0891,-0.345108
57216,82.971,-0.345108
55700,81.1882,-0.345108
51844,83.8749,-0.345108
53810,83.4144,-0.345108
54597,83.5796,-0.345108
54468,82.1291,-0.345108
50596,84.5235,-0.345108
55632,81.1091,-0.345108
53033,81.4825,-0.345108
53644,82.9359,-0.345108
54232,83.0531,-0.345108
52474,82.7728,-0.345108
52884,82.1732,-0.345108
53845,81.9009,-0.345108
54280,83.2042,-0.345108
57328,82.4144,-0.345108
53338,83.9099,-0.345108
59094,84.4775,-0.345108
52688,84.2533,-0.345108
54187,84.977,-0.345108
53289,85.4765,-0.345108
55795,82.0561,-0.345108
54051,84.4525,-0.345108
54004,82.7307,-0.345108
57160,79.963,-0.345108
56079,83.3814,-0.345108
55545,80.9199,-0.345108
54491,81.7528,-0.345108
55215,83.1792,-0.345108
55960,82.2603,-0.345108
52970,83.3333,-0.345108
52038,83.8989,-0.345108
54627,81.5335,-0.345108
57103,81.8238,-0.345108
54184,82.998,-0.345108
55102,79.996,-0.345108
52792,84.1702,-0.345108
55108,83.027,-0.345108
52447,83.3854,-0.345108
59133,81.4324,-0.345108
53761,83.1461,-0.345108
53918,81.5846,-0.345108
53810,85.1051,-0.345108
53683,82.985,-0.345108
52783,84.0741,-0.345108
55949,82.3694,-0.345108
53800,81.3964,-0.345108
52884,82.3544,-0.345108
55592,82.4525,-0.345108
53599,81.975,-0.345108
56947,82.7407,-0.345108
54642,82.7297,-0.345108
52544,83.5886,-0.345108
56288,82.4785,-0.345108
53502,84.3834,-0.345108
53119,83.6607,-0.345108
55699,80.3303,-0.345108
54151,83.6166,-0.345108
55547,82.6927,-0.345108
53517,82.1211,-0.345108
52819,83.4324,-0.345108
53368,82.5616,-0.345108
53363,83.9409,-0.345108
53095,84.004,-0.345108
52106,84.0541,-0.345108
55180,86.013,-0.345108
53506,83.1101,-0.345108
54250,84.0571,-0.345108
56073,82.8448,-0.345108
52761,84.2623,-0.345108
52302,83.2993,-0.345108
54004,83.6767,-0.345108
56207,82.1031,-0.345108
54862,82.4484,-0.345108
55871,80.1331,-0.345108
54821,83.3053,-0.345108
54741,82.7407,-0.345108
52926,82.4304,-0.345108
55492,81.3283,-0.345108
