objective,similarity,correlation
55756,84,-0.262833
59489,78,-0.262833
52649,87,-0.262833
57573,85,-0.262833
53253,86,-0.262833
53182,86,-0.262833
52384,88,-0.262833
51895,85,-0.262833
54821,87,-0.262833
55635,77,-0.262833
55002,81,-0.262833
55697,89,-0.262833
53903,84,-0.262833
55393,81,-0.262833
55682,87,-0.262833
57363,81,-0.262833
54955,86,-0.262833
53827,81,-0.262833
52460,86,-0.262833
53575,83,-0.262833
53870,85,-0.262833
54772,87,-0.262833
56225,89,-0.262833
54332,87,-0.262833
51112,91,-0.262833
56839,87,-0.262833
53921,89,-0.262833
56739,84,-0.262833
51851,84,-0.262833
57100,75,-0.262833
52794,87,-0.262833
54476,90,-0.262833
53814,86,-0.262833
53413,86,-0.262833
52305,82,-0.262833
53064,84,-0.262833
53285,84,-0.262833
53278,83,-0.262833
53341,85,-0.262833
53855,85,-0.262833
54263,83,-0.262833
54840,86,-0.262833
51813,89,-0.262833
51701,87,-0.262833
50770,90,-0.262833
52680,90,-0.262833
55483,82,-0.262833
53275,90,-0.262833
55011,82,-0.262833
54940,80,-0.262833
50427,89,-0.262833
56634,81,-0.262833
53782,87,-0.262833
53040,89,-0.262833
53299,86,-0.262833
54389,80,-0.262833
53219,88,-0.262833
49988,86,-0.262833
53084,86,-0.262833
53140,87,-0.262833
50491,82,-0.262833
52011,83,-0.262833
55121,78,-0.262833
54527,84,-0.262833
53937,86,-0.262833
58703,88,-0.262833
53042,85,-0.262833
56232,87,-0.262833
54365,83,-0.262833
54713,92,-0.262833
54276,83,-0.262833
55691,84,-0.262833
54066,90,-0.262833
53181,84,-0.262833
52435,81,-0.262833
53550,90,-0.262833
53826,86,-0.262833
55929,87,-0.262833
53356,91,-0.262833
52087,84,-0.262833
51608,87,-0.262833
53018,83,-0.262833
51850,83,-0.262833
56230,79,-0.262833
55439,85,-0.262833
54372,82,-0.262833
53805,85,-0.262833
53738,85,-0.262833
53317,82,-0.262833
54503,85,-0.262833
54288,87,-0.262833
50865,87,-0.262833
54023,89,-0.262833
50623,85,-0.262833
51468,87,-0.262833
54539,82,-0.262833
55668,81,-0.262833
49800,86,-0.262833
53562,80,-0.262833
53733,89,-0.262833
50967,83,-0.262833
53801,87,-0.262833
54088,88,-0.262833
55942,87,-0.262833
54226,82,-0.262833
54906,83,-0.262833
55472,86,-0.262833
52431,82,-0.262833
56152,83,-0.262833
54060,90,-0.262833
55206,89,-0.262833
55557,84,-0.262833
54571,83,-0.262833
56847,82,-0.262833
53342,84,-0.262833
54725,84,-0.262833
54959,85,-0.262833
53849,92,-0.262833
56688,79,-0.262833
52407,89,-0.262833
51007,86,-0.262833
54977,88,-0.262833
52580,90,-0.262833
56713,87,-0.262833
53870,86,-0.262833
52757,85,-0.262833
54342,88,-0.262833
53687,85,-0.262833
54952,81,-0.262833
56807,85,-0.262833
54031,85,-0.262833
52742,88,-0.262833
54704,88,-0.262833
53625,88,-0.262833
54326,83,-0.262833
56589,81,-0.262833
52286,87,-0.262833
53100,83,-0.262833
52497,86,-0.262833
54611,84,-0.262833
52441,83,-0.262833
55825,87,-0.262833
52109,87,-0.262833
55758,79,-0.262833
52823,89,-0.262833
53824,87,-0.262833
53381,85,-0.262833
54065,85,-0.262833
53039,87,-0.262833
54920,83,-0.262833
56301,80,-0.262833
53893,84,-0.262833
52347,88,-0.262833
53339,88,-0.262833
52791,86,-0.262833
51905,80,-0.262833
53563,83,-0.262833
55238,82,-0.262833
55660,82,-0.262833
56434,86,-0.262833
53642,82,-0.262833
55977,83,-0.262833
53131,78,-0.262833
53778,87,-0.262833
52486,91,-0.262833
54329,84,-0.262833
49515,86,-0.262833
55434,83,-0.262833
61043,84,-0.262833
53895,88,-0.262833
55700,84,-0.262833
51939,88,-0.262833
54274,87,-0.262833
53744,81,-0.262833
55140,77,-0.262833
52408,83,-0.262833
53780,84,-0.262833
54125,81,-0.262833
56342,83,-0.262833
56306,77,-0.262833
53790,86,-0.262833
53642,88,-0.262833
53280,84,-0.262833
54627,82,-0.262833
55340,82,-0.262833
54867,87,-0.262833
53123,86,-0.262833
52699,84,-0.262833
54735,82,-0.262833
55277,89,-0.262833
54091,84,-0.262833
57245,82,-0.262833
54463,85,-0.262833
51762,85,-0.262833
52889,87,-0.262833
51496,87,-0.262833
55021,84,-0.262833
54658,85,-0.262833
56676,85,-0.262833
55754,86,-0.262833
54781,86,-0.262833
54831,84,-0.262833
52615,88,-0.262833
54419,79,-0.262833
53147,81,-0.262833
55258,83,-0.262833
54924,85,-0.262833
54836,84,-0.262833
52097,83,-0.262833
57216,90,-0.262833
55700,82,-0.262833
51844,85,-0.262833
53810,84,-0.262833
54597,89,-0.262833
54468,85,-0.262833
50596,90,-0.262833
55632,85,-0.262833
53033,80,-0.262833
53644,85,-0.262833
54232,86,-0.262833
52474,85,-0.262833
52884,83,-0.262833
53845,83,-0.262833
54280,84,-0.262833
57328,81,-0.262833
53338,85,-0.262833
59094,87,-0.262833
52688,91,-0.262833
54187,88,-0.262833
53289,91,-0.262833
55795,83,-0.262833
54051,89,-0.262833
54004,84,-0.262833
57160,81,-0.262833
56079,86,-0.262833
55545,82,-0.262833
54491,87,-0.262833
55215,86,-0.262833
55960,88,-0.262833
52970,89,-0.262833
52038,90,-0.262833
54627,84,-0.262833
57103,83,-0.262833
54184,85,-0.262833
55102,82,-0.262833
52792,88,-0.262833
55108,86,-0.262833
52447,85,-0.262833
59133,81,-0.262833
53761,82,-0.262833
53918,85,-0.262833
53810,91,-0.262833
53683,82,-0.262833
52783,86,-0.262833
55949,83,-0.262833
53800,82,-0.262833
52884,85,-0.262833
55592,85,-0.262833
53599,85,-0.262833
56947,83,-0.262833
54642,83,-0.262833
52544,83,-0.262833
56288,84,-0.262833
53502,87,-0.262833
53119,85,-0.262833
55699,84,-0.262833
54151,87,-0.262833
55547,86,-0.262833
53517,83,-0.262833
52819,85,-0.262833
53368,84,-0.262833
53363,86,-0.262833
53095,84,-0.262833
52106,88,-0.262833
55180,92,-0.262833
53506,86,-0.262833
54250,88,-0.262833
56073,86,-0.262833
52761,86,-0.262833
52302,84,-0.262833
54004,88,-0.262833
56207,81,-0.262833
54862,83,-0.262833
55871,79,-0.262833
54821,89,-0.262833
54741,84,-0.262833
52926,85,-0.262833
55492,87,-0.262833
52326,85,-0.262833
56300,77,-0.262833
53579,90,-0.262833
52866,86,-0.262833
56208,84,-0.262833
53460,85,-0.262833
54526,85,-0.262833
54259,84,-0.262833
52749,86,-0.262833
54869,84,-0.262833
55786,82,-0.262833
52679,81,-0.262833
53706,86,-0.262833
54401,85,-0.262833
53300,86,-0.262833
55961,84,-0.262833
53472,82,-0.262833
54353,86,-0.262833
56568,89,-0.262833
56989,85,-0.262833
55260,88,-0.262833
55246,85,-0.262833
54156,87,-0.262833
55031,83,-0.262833
