objective,similarity,correlation
54060,88,-0.369357
53734,88,-0.369357
54758,82,-0.369357
56324,86,-0.369357
51121,86,-0.369357
51757,84,-0.369357
55367,82,-0.369357
54862,86,-0.369357
56386,87,-0.369357
55890,89,-0.369357
55091,83,-0.369357
54695,88,-0.369357
52772,85,-0.369357
52888,82,-0.369357
55127,86,-0.369357
54186,86,-0.369357
53713,88,-0.369357
59217,76,-0.369357
54041,84,-0.369357
55294,82,-0.369357
54265,87,-0.369357
51958,87,-0.369357
51727,87,-0.369357
56818,82,-0.369357
53146,88,-0.369357
54401,87,-0.369357
54781,86,-0.369357
56691,83,-0.369357
56193,90,-0.369357
53208,84,-0.369357
52215,87,-0.369357
56211,89,-0.369357
54433,89,-0.369357
54867,79,-0.369357
53853,85,-0.369357
54123,88,-0.369357
53400,90,-0.369357
53375,88,-0.369357
51992,86,-0.369357
55349,83,-0.369357
53747,84,-0.369357
55029,83,-0.369357
57476,82,-0.369357
54851,85,-0.369357
51745,85,-0.369357
52961,84,-0.369357
51325,88,-0.369357
56070,86,-0.369357
50928,84,-0.369357
55249,87,-0.369357
52477,87,-0.369357
55858,85,-0.369357
53352,83,-0.369357
53541,81,-0.369357
54525,85,-0.369357
55593,81,-0.369357
53329,88,-0.369357
55469,85,-0.369357
53577,86,-0.369357
52898,88,-0.369357
53417,86,-0.369357
53696,86,-0.369357
56045,84,-0.369357
55215,78,-0.369357
53338,89,-0.369357
52835,84,-0.369357
54350,85,-0.369357
54518,86,-0.369357
55126,86,-0.369357
55036,82,-0.369357
53921,84,-0.369357
56226,80,-0.369357
54061,85,-0.369357
52563,81,-0.369357
52544,85,-0.369357
54684,89,-0.369357
53149,87,-0.369357
53365,86,-0.369357
52794,83,-0.369357
55985,81,-0.369357
53678,85,-0.369357
54326,83,-0.369357
55072,86,-0.369357
52840,87,-0.369357
54394,87,-0.369357
56633,80,-0.369357
52997,87,-0.369357
53543,88,-0.369357
51476,89,-0.369357
53095,86,-0.369357
51716,87,-0.369357
58103,85,-0.369357
50959,85,-0.369357
51213,88,-0.369357
52711,83,-0.369357
52891,85,-0.369357
53275,88,-0.369357
53377,85,-0.369357
54906,79,-0.369357
52230,84,-0.369357
53670,86,-0.369357
54797,82,-0.369357
54992,85,-0.369357
54163,87,-0.369357
54924,85,-0.369357
56053,81,-0.369357
52269,87,-0.369357
54613,85,-0.369357
53711,84,-0.369357
55493,83,-0.369357
56677,85,-0.369357
55548,87,-0.369357
55359,87,-0.369357
56683,88,-0.369357
54998,80,-0.369357
58712,85,-0.369357
54033,85,-0.369357
50792,85,-0.369357
50336,90,-0.369357
52869,89,-0.369357
54029,80,-0.369357
54142,83,-0.369357
55719,82,-0.369357
52214,88,-0.369357
52406,86,-0.369357
54835,84,-0.369357
53575,85,-0.369357
53884,86,-0.369357
53843,85,-0.369357
52930,87,-0.369357
56112,80,-0.369357
53047,90,-0.369357
53002,84,-0.369357
54081,85,-0.369357
52326,85,-0.369357
55688,84,-0.369357
56526,84,-0.369357
53562,88,-0.369357
55553,84,-0.369357
56799,84,-0.369357
57874,82,-0.369357
53088,84,-0.369357
54785,85,-0.369357
53041,84,-0.369357
56494,84,-0.369357
56425,81,-0.369357
56788,87,-0.369357
56115,82,-0.369357
55714,86,-0.369357
54623,86,-0.369357
53095,83,-0.369357
51516,87,-0.369357
55451,84,-0.369357
52958,87,-0.369357
52733,85,-0.369357
56546,86,-0.369357
54324,87,-0.369357
54391,86,-0.369357
55069,87,-0.369357
59073,83,-0.369357
53932,82,-0.369357
54368,85,-0.369357
54984,88,-0.369357
52546,83,-0.369357
53019,84,-0.369357
57137,84,-0.369357
52671,85,-0.369357
52851,87,-0.369357
54123,82,-0.369357
54823,86,-0.369357
52870,87,-0.369357
55622,85,-0.369357
55600,84,-0.369357
57731,92,-0.369357
55416,84,-0.369357
54366,83,-0.369357
53990,79,-0.369357
57595,79,-0.369357
55173,84,-0.369357
54098,84,-0.369357
52532,87,-0.369357
53826,89,-0.369357
51827,89,-0.369357
55056,84,-0.369357
52914,89,-0.369357
54675,83,-0.369357
54196,82,-0.369357
56170,82,-0.369357
52016,91,-0.369357
52924,82,-0.369357
55541,84,-0.369357
53221,85,-0.369357
54584,87,-0.369357
54974,88,-0.369357
52206,89,-0.369357
52938,86,-0.369357
53265,85,-0.369357
51274,87,-0.369357
54646,87,-0.369357
53428,85,-0.369357
55837,85,-0.369357
55305,85,-0.369357
53804,85,-0.369357
55605,86,-0.369357
54164,84,-0.369357
54574,87,-0.369357
54991,82,-0.369357
55198,83,-0.369357
55473,82,-0.369357
54278,84,-0.369357
53722,86,-0.369357
54300,88,-0.369357
52805,88,-0.369357
53163,87,-0.369357
54181,83,-0.369357
53058,88,-0.369357
54675,83,-0.369357
52863,85,-0.369357
55061,83,-0.369357
51675,87,-0.369357
54802,84,-0.369357
53798,83,-0.369357
53047,85,-0.369357
54697,87,-0.369357
56961,89,-0.369357
56125,82,-0.369357
52468,84,-0.369357
54558,84,-0.369357
53638,85,-0.369357
54941,88,-0.369357
55194,85,-0.369357
52440,83,-0.369357
53913,83,-0.369357
52569,85,-0.369357
54867,88,-0.369357
56077,85,-0.369357
54578,84,-0.369357
53848,89,-0.369357
52020,86,-0.369357
54235,87,-0.369357
54137,88,-0.369357
54945,87,-0.369357
54286,87,-0.369357
56741,83,-0.369357
52542,87,-0.369357
51453,87,-0.369357
53045,85,-0.369357
54106,85,-0.369357
54738,90,-0.369357
51716,86,-0.369357
53506,88,-0.369357
53562,84,-0.369357
56856,82,-0.369357
54570,86,-0.369357
54246,86,-0.369357
53196,84,-0.369357
54360,87,-0.369357
57855,83,-0.369357
50796,86,-0.369357
53322,91,-0.369357
54929,84,-0.369357
51238,86,-0.369357
51946,87,-0.369357
56044,85,-0.369357
53414,84,-0.369357
55548,80,-0.369357
53293,86,-0.369357
55470,89,-0.369357
58180,82,-0.369357
51607,83,-0.369357
53146,86,-0.369357
52085,86,-0.369357
52879,82,-0.369357
54104,82,-0.369357
54379,83,-0.369357
52480,88,-0.369357
55522,86,-0.369357
52847,86,-0.369357
53993,88,-0.369357
54933,84,-0.369357
52122,81,-0.369357
53619,85,-0.369357
56875,83,-0.369357
54635,84,-0.369357
54938,89,-0.369357
55143,86,-0.369357
52626,85,-0.369357
57089,86,-0.369357
53727,84,-0.369357
55573,86,-0.369357
54738,87,-0.369357
54988,86,-0.369357
55036,82,-0.369357
52789,88,-0.369357
54565,83,-0.369357
55853,85,-0.369357
52764,85,-0.369357
53917,85,-0.369357
54021,81,-0.369357
53499,84,-0.369357
53060,84,-0.369357
55414,90,-0.369357
54805,82,-0.369357
54185,84,-0.369357
55131,86,-0.369357
53523,86,-0.369357
57042,84,-0.369357
54739,87,-0.369357
57716,83,-0.369357
52671,85,-0.369357
55411,85,-0.369357
54354,82,-0.369357
53026,86,-0.369357
55486,88,-0.369357
52290,82,-0.369357
54187,81,-0.369357
54848,84,-0.369357
53957,86,-0.369357
55929,87,-0.369357
52276,87,-0.369357
50644,89,-0.369357
54648,88,-0.369357
55833,80,-0.369357
54571,81,-0.369357
52804,86,-0.369357
53419,82,-0.369357
54106,84,-0.369357
54831,87,-0.369357
52308,85,-0.369357
52027,89,-0.369357
54346,86,-0.369357
55810,90,-0.369357
52203,84,-0.369357
56830,82,-0.369357
53800,89,-0.369357
55652,83,-0.369357
53854,87,-0.369357
52114,88,-0.369357
55239,84,-0.369357
53963,89,-0.369357
55427,84,-0.369357
52991,86,-0.369357
55898,83,-0.369357
53402,86,-0.369357
55096,82,-0.369357
53660,86,-0.369357
54579,85,-0.369357
51441,87,-0.369357
52293,89,-0.369357
52931,87,-0.369357
54066,85,-0.369357
53204,86,-0.369357
55823,85,-0.369357
53195,86,-0.369357
51896,84,-0.369357
53086,85,-0.369357
54818,84,-0.369357
55190,85,-0.369357
54035,85,-0.369357
53695,85,-0.369357
53539,82,-0.369357
54035,87,-0.369357
54246,78,-0.369357
57119,81,-0.369357
55434,88,-0.369357
53539,85,-0.369357
53416,88,-0.369357
50691,90,-0.369357
55540,83,-0.369357
54902,80,-0.369357
53476,81,-0.369357
54226,88,-0.369357
55247,84,-0.369357
54349,87,-0.369357
54317,80,-0.369357
55323,84,-0.369357
53804,88,-0.369357
52918,87,-0.369357
54335,82,-0.369357
53614,87,-0.369357
52093,84,-0.369357
52785,87,-0.369357
53867,85,-0.369357
53709,88,-0.369357
53916,86,-0.369357
55907,80,-0.369357
54347,83,-0.369357
54499,82,-0.369357
54386,85,-0.369357
53620,85,-0.369357
56543,85,-0.369357
53667,88,-0.369357
52361,86,-0.369357
53985,88,-0.369357
55657,85,-0.369357
56650,82,-0.369357
52863,85,-0.369357
55351,80,-0.369357
54738,83,-0.369357
52312,84,-0.369357
56107,83,-0.369357
53467,83,-0.369357
51772,86,-0.369357
55350,86,-0.369357
54900,85,-0.369357
54416,83,-0.369357
54038,85,-0.369357
54292,84,-0.369357
54966,87,-0.369357
54897,83,-0.369357
52638,86,-0.369357
56773,82,-0.369357
55447,84,-0.369357
52995,86,-0.369357
54975,86,-0.369357
53597,85,-0.369357
54937,89,-0.369357
53322,85,-0.369357
53132,89,-0.369357
55162,85,-0.369357
54535,89,-0.369357
54263,86,-0.369357
53902,84,-0.369357
53899,85,-0.369357
54980,85,-0.369357
53904,89,-0.369357
52844,83,-0.369357
53062,88,-0.369357
55693,84,-0.369357
53354,85,-0.369357
54497,87,-0.369357
52363,88,-0.369357
55929,86,-0.369357
53038,84,-0.369357
55473,85,-0.369357
52731,87,-0.369357
53048,86,-0.369357
55676,80,-0.369357
55426,83,-0.369357
56406,84,-0.369357
51976,87,-0.369357
54831,82,-0.369357
52567,85,-0.369357
57938,85,-0.369357
57426,83,-0.369357
54100,87,-0.369357
52339,87,-0.369357
52929,87,-0.369357
54230,85,-0.369357
54957,87,-0.369357
54436,83,-0.369357
53941,83,-0.369357
54865,87,-0.369357
57230,88,-0.369357
52562,84,-0.369357
55803,83,-0.369357
54483,86,-0.369357
52586,83,-0.369357
53599,86,-0.369357
